Type,R,G,B,Difference,Reference,Python,Rust
Hue,17,221,170,5.0,6.2G 7.8/11.3,1.2G 8.9/15.1,6.2G 7.8/11.2
Hue,34,102,153,4.9,1.3PB 4.1/7.5,6.2PB 5.0/11.0,1.3PB 4.1/7.5
Hue,34,85,68,4.9,5.3G 3.2/4.7,0.2G 5.1/6.5,5.3G 3.2/4.7
Hue,51,102,170,5.0,4.6PB 4.2/9.1,9.6PB 3.9/17.0,4.6PB 4.2/9.1
Hue,85,136,255,4.9,6.5PB 5.8/14.6,1.5PB 6.6/11.7,6.6PB 5.8/14.6
Hue,136,238,0,4.9,8.0GY 8.5/15.6,3.1GY 6.8/3.0,8.0GY 8.5/15.6
Hue,170,119,34,4.9,0.8Y 5.3/8.1,5.7Y 7.6/3.1,0.8Y 5.3/8.1
Hue,238,221,187,4.9,6.0Y 8.8/2.9,1.1Y 1.5/2.2,6.0Y 8.8/2.9
Value,17,255,51,7.1000000000000005,0.2G 8.8/18.4,3.3YR 1.7/7.1,0.2G 8.8/18.4
Value,17,255,68,7.1000000000000005,0.4G 8.8/17.9,1.3YR 1.7/6.6,0.4G 8.8/17.9
Value,17,255,85,7.1000000000000005,0.7G 8.8/17.3,6.7R 1.7/6.4,0.7G 8.8/17.2
Value,17,255,102,7.000000000000001,1.1G 8.8/16.6,0.6R 1.8/6.8,1.1G 8.8/16.5
Value,17,255,119,6.9,1.6G 8.8/15.8,4.1RP 1.9/7.8,1.5G 8.8/15.8
Value,17,255,136,6.800000000000001,2.2G 8.8/15.0,9.8P 2.0/9.3,2.1G 8.8/15.0
Value,17,255,153,6.800000000000001,2.9G 8.9/14.2,5.9P 2.1/10.9,2.9G 8.9/14.1
Value,102,0,34,7.0,6.2R 2.0/8.9,9.6GY 9.0/15.2,6.2R 2.0/8.9
Value,102,0,51,7.0,1.7R 2.0/9.1,10.0GY 9.0/14.4,4.9R 2.0/8.6
Value,102,0,68,6.9,6.8RP 2.1/9.7,0.4G 9.0/13.6,6.8RP 2.1/9.7
Value,221,204,221,7.200000000000001,1.1RP 8.3/1.8,7.9PB 1.1/13.2,2.2RP 8.3/-226.3
Value,221,204,238,7.1000000000000005,4.5P 8.4/3.4,7.4PB 1.3/14.6,4.5P 8.4/3.4
Value,221,204,255,7.3,2.2P 8.4/5.1,8.6PB 1.2/9.1,2.2P 8.5/5.1
Value,221,221,0,7.2,1.7GY 8.5/12.1,7.9PB 1.3/11.1,1.7GY 8.5/12.1
Value,221,221,17,6.9,1.7GY 8.5/11.9,7.4PB 1.6/13.1,1.7GY 8.5/11.9
Value,221,221,34,7.3,1.7GY 8.5/11.5,1.0GY 1.2/3.1,1.7GY 8.5/11.5
Value,221,221,51,7.3,1.8GY 8.5/11.0,1.5GY 1.2/2.2,1.8GY 8.5/11.0
Value,221,221,102,7.1,2.0GY 8.6/8.4,7.6PB 1.5/4.1,2.0GY 8.6/8.4
Value,221,221,119,7.0,2.2GY 8.6/7.4,7.6PB 1.6/6.5,2.2GY 8.6/7.4
Value,221,221,136,6.8999999999999995,2.5GY 8.6/6.3,7.5PB 1.7/8.8,2.5GY 8.6/6.3
Chroma,51,68,34,22.2,6.4GY 2.6/4.2,8.8PB 3.8/26.4,6.5GY 2.6/4.2
Chroma,51,17,238,20.8,7.3PB 3.2/25.5,3.7PB 4.9/4.2,7.3PB 3.2/25.0
Chroma,51,51,68,29.400000000000002,7.0PB 2.2/1.7,0.3G 6.8/9.8,5.8PB 2.2/39.2
Chroma,68,51,0,22.4,5.2Y 2.2/4.5,9.7PB 3.9/26.9,5.2Y 2.2/4.5
Chroma,68,51,51,53.9,2.2YR 2.3/1.3,7.3R 2.5/9.0,2.4YR 2.3/-44.9
Chroma,68,68,0,21.2,1.2GY 2.7/5.3,9.7PB 4.0/26.5,1.2GY 2.7/5.3
Chroma,85,102,102,61.4,1.0BG 4.1/1.8,0.3PB 6.1/4.8,2.1BG 4.1/-56.6
Chroma,85,68,68,122.0,2.3YR 3.0/1.2,1.0G 7.7/15.7,2.4YR 3.0/-106.3
Chroma,85,85,102,30062.899999999998,6.2PB 3.6/1.5,4.4PB 3.5/9.1,1.0P 3.6/-30053.8
Chroma,102,102,119,29.7,5.8PB 4.3/1.5,6.1P 4.3/8.8,5.0PB 4.3/38.5
Chroma,102,119,119,50.8,0.5BG 4.8/1.8,5.5P 4.7/6.3,2.0BG 4.8/-44.5
Chroma,102,85,85,32.4,3.1YR 3.7/1.1,1.8RP 3.8/7.8,0.0Y 3.7/-24.6
Chroma,119,102,102,32.1,3.9YR 4.4/1.1,2.2P 4.4/23.5,0.2Y 4.4/-8.6
Chroma,119,102,119,22.299999999999997,9.7P 4.4/1.8,1.6P 4.5/24.9,9.7P 4.4/2.6
Chroma,119,17,238,20.6,0.1P 3.8/24.8,7.3R 4.8/4.1,0.1P 3.8/24.7
Chroma,119,17,255,20.4,9.7PB 4.0/26.6,8.2RP 4.8/4.6,9.8PB 4.0/25.0
Chroma,119,119,102,22.2,3.2GY 4.9/1.9,2.1P 4.5/22.2,8.9GY 4.9/0.0
Chroma,119,85,85,20.2,8.8R 3.9/2.6,3.2P 4.1/22.8,8.7R 3.9/2.6
Chroma,119,85,102,21.2,5.3RP 4.0/3.1,2.3P 4.2/24.3,5.4RP 3.9/3.1
Chroma,119,85,119,21.299999999999997,8.9P 4.0/4.4,1.6P 4.4/25.7,8.9P 4.0/4.4
Family,0,170,102,GY→G,2.6G 6.0/11.0,6.6GY 3.3/4.0,2.6G 6.0/11.0
Family,0,221,17,PB→GY,9.9GY 7.7/17.6,6.2PB 5.0/13.2,9.9GY 7.6/17.6
Family,0,255,204,PB→G,7.6G 9.0/11.7,8.6PB 2.7/16.6,7.6G 9.0/11.7
Family,0,170,119,GY→G,4.3G 6.1/10.1,9.6GY 3.4/2.8,4.3G 6.1/10.1
Family,0,221,34,PB→G,0.1G 7.7/17.3,6.6PB 5.1/15.0,0.0G 7.7/17.3
Family,0,255,221,PB→BG,0.5BG 9.0/11.1,8.3PB 2.9/18.7,0.5BG 9.0/11.1
Family,0,221,51,PB→G,0.3G 7.7/16.9,6.9PB 5.3/16.8,0.2G 7.7/16.8
Family,0,255,238,PB→BG,3.7BG 9.1/10.9,8.0PB 3.1/20.7,3.7BG 9.0/10.4
Family,0,170,153,B→BG,1.5BG 6.2/8.5,8.5B 3.5/2.2,1.5BG 6.2/8.5
Family,0,221,68,PB→G,0.6G 7.7/16.4,7.8PB 3.3/22.4,0.5G 7.7/16.2
Family,0,255,255,PB→BG,6.6BG 9.1/10.9,4.1PB 3.6/4.1,6.6BG 9.1/10.0
Family,0,170,170,GY→BG,5.4BG 6.2/8.0,7.8GY 5.0/10.9,5.4BG 6.2/8.0
Family,0,221,85,B→G,1.0G 7.7/15.7,0.1B 6.4/6.6,0.9G 7.7/15.5
Family,17,34,0,G→GY,5.8GY 1.1/3.8,1.1G 7.8/14.0,5.8GY 1.1/3.8
Family,17,68,136,GY→PB,5.4PB 2.9/9.0,8.0GY 5.0/10.5,5.4PB 2.9/9.1
Family,17,102,85,B→G,8.0G 3.8/5.8,4.4B 6.4/7.2,8.0G 3.8/5.8
Family,17,34,17,G→GY,8.2GY 1.1/2.9,1.7G 7.8/13.0,8.2GY 1.1/2.9
Family,17,68,153,GY→PB,6.0PB 3.0/11.2,8.4GY 5.0/10.0,6.1PB 3.0/11.2
Family,17,102,102,B→BG,4.3BG 3.8/5.2,8.0B 6.5/8.3,4.3BG 3.8/5.2
Family,17,34,34,G→BG,2.5BG 1.1/2.0,2.5G 7.8/12.0,2.5BG 1.1/2.0
Family,17,68,170,GY→PB,6.4PB 3.2/13.2,9.1GY 5.0/9.2,6.4PB 3.2/13.2
Family,17,102,119,PB→B,0.8B 3.9/5.2,0.7PB 6.6/9.8,0.8B 3.9/5.2
Family,17,34,51,G→PB,0.4PB 1.2/2.5,3.7G 7.9/11.2,0.4PB 1.2/2.5
Family,17,68,187,G→PB,6.6PB 3.3/15.2,0.1G 5.0/8.3,6.6PB 3.3/15.2
Family,17,102,136,PB→B,6.5B 4.0/6.1,2.5PB 6.6/11.3,6.5B 4.0/6.1
Family,17,34,68,G→PB,5.3PB 1.3/4.6,5.4G 7.9/10.4,5.3PB 1.3/4.6
Family,17,68,204,G→PB,6.8PB 3.5/17.1,1.2G 5.0/7.2,6.8PB 3.5/17.2
Family,17,102,153,GY→PB,0.7PB 4.0/7.7,8.9GY 6.6/14.8,0.7PB 4.0/7.7
Family,17,34,85,G→PB,6.2PB 1.5/6.8,8.7G 7.9/9.7,6.3PB 1.5/6.8
Family,17,68,221,G→PB,6.9PB 3.6/19.1,3.3G 5.1/6.4,6.9PB 3.6/19.1
Family,17,102,170,GY→PB,3.2PB 4.1/9.6,9.1GY 6.6/14.5,3.2PB 4.1/9.6
Family,17,34,102,BG→PB,6.6PB 1.6/8.9,2.7BG 8.0/9.1,6.6PB 1.6/9.0
Family,17,68,238,G→PB,6.9PB 3.8/21.2,8.1G 5.1/5.5,6.9PB 3.8/21.2
Family,17,102,187,GY→PB,5.0PB 4.2/11.6,9.3GY 6.6/14.1,5.0PB 4.2/11.6
Family,17,34,119,BG→PB,6.7PB 1.8/11.2,6.1BG 8.0/8.7,6.8PB 1.8/11.3
Family,17,68,255,BG→PB,7.0PB 4.0/23.3,4.6BG 5.1/5.0,7.0PB 4.0/23.3
Family,17,102,204,GY→PB,5.7PB 4.3/13.5,9.6GY 6.6/13.5,5.7PB 4.3/13.5
Family,17,34,153,BG→PB,6.8PB 2.2/15.4,9.8BG 8.1/8.5,6.8PB 2.2/15.4
Family,17,85,0,B→GY,8.5GY 3.0/9.0,1.0B 5.2/5.0,8.5GY 3.1/9.0
Family,17,102,221,G→PB,6.2PB 4.5/15.4,0.1G 6.6/12.7,6.1PB 4.5/15.4
Family,17,51,0,B→GY,7.0GY 1.8/5.7,3.1B 8.1/8.6,7.0GY 1.8/5.7
Family,17,85,17,B→GY,9.2GY 3.1/8.4,6.6B 5.3/6.0,9.1GY 3.1/8.4
Family,17,102,238,G→PB,6.5PB 4.6/17.2,0.6G 6.7/11.9,6.5PB 4.6/17.2
Family,17,85,34,PB→G,0.3G 3.1/7.5,0.5PB 5.3/7.6,0.3G 3.1/7.5
Family,17,102,255,G→PB,6.7PB 4.7/19.0,1.3G 6.7/11.0,6.7PB 4.7/19.0
Family,17,51,34,GY→G,2.0G 1.8/4.0,9.5GY 8.3/17.7,2.0G 1.8/4.0
Family,17,85,51,PB→G,1.9G 3.1/6.5,2.8PB 5.4/9.3,1.9G 3.1/6.5
Family,17,119,0,G→GY,9.1GY 4.2/11.0,2.4G 6.7/10.1,9.1GY 4.2/11.0
Family,17,51,51,GY→BG,3.2BG 1.9/3.2,9.6GY 8.3/17.4,3.2BG 1.9/3.2
Family,17,85,68,PB→G,6.6G 3.1/5.3,4.6PB 5.5/11.2,6.6G 3.1/5.3
Family,17,119,17,G→GY,9.4GY 4.2/10.5,4.0G 6.7/9.3,9.4GY 4.2/10.6
Family,17,51,68,GY→B,5.7B 1.9/3.4,9.8GY 8.3/16.9,5.6B 1.9/3.4
Family,17,85,85,PB→BG,4.0BG 3.2/4.6,5.6PB 5.6/13.0,4.0BG 3.2/4.6
Family,17,51,85,G→PB,2.4PB 2.0/5.0,0.1G 8.3/16.4,2.4PB 2.0/5.0
Family,17,85,102,PB→B,1.6B 3.3/4.4,6.1PB 5.7/14.7,1.5B 3.3/4.4
Family,17,119,51,BG→G,0.8G 4.3/9.1,1.4BG 6.8/7.9,0.8G 4.3/9.1
Family,17,51,102,G→PB,5.2PB 2.1/6.9,0.5G 8.3/15.8,5.3PB 2.2/6.9
Family,17,85,119,GY→B,8.0B 3.3/5.4,8.3GY 5.5/12.2,8.0B 3.3/5.4
Family,17,119,68,BG→G,1.9G 4.3/8.2,5.6BG 6.9/7.5,1.9G 4.3/8.2
