sRGB ,ISCC-NBS Name, modifier ,color 
#ffb5ba,vivid pink, vivid ,pink 
#ea9399,strong pink, strong ,pink 
#e4717a,deep pink, deep ,pink 
#f9ccca,light pink, light ,pink 
#dea5a4,moderate pink, moderate ,pink 
#c08081,dark pink, dark ,pink 
#ead8d7,pale pink, pale ,pink 
#c4aead,grayish pink, grayish ,pink 
#eae3e1,pinkish white, -ish white ,pink 
#c1b6b3,pinkish gray, -ish gray ,pink 
#be0032,vivid red, vivid ,red 
#bc3f4a,strong red, strong ,red 
#841b2d,deep red, deep ,red 
#5c0923,very deep red, very deep ,red 
#ab4e52,moderate red, moderate ,red 
#722f37,dark red, dark ,red 
#3f1728,very dark red, very dark ,red 
#ad8884,light grayish red, pale ,red 
#905d5d,grayish red, grayish ,red 
#543d3f,dark grayish red, dark grayish ,red 
#2e1d21,blackish red, blackish ,red 
#8f817f,reddish gray, -ish gray ,red 
#5c504f,dark reddish gray, dark -ish gray ,red 
#282022,reddish black, -ish black ,red 
#ffb7a5,vivid yellowish pink, vivid ,yellowish pink 
#f99379,strong yellowish pink, strong ,yellowish pink 
#e66721,deep yellowish pink, deep ,yellowish pink 
#f4c2c2,light yellowish pink, light ,yellowish pink 
#d9a6a9,moderate yellowish pink, moderate ,yellowish pink 
#c48379,dark yellowish pink, dark ,yellowish pink 
#ecd5c5,pale yellowish pink, pale ,yellowish pink 
#c7ada3,grayish yellowish pink, grayish ,yellowish pink 
#c2ac99,brownish pink, brownish ,pink 
#e25822,vivid reddish orange, vivid ,reddish orange 
#d9603b,strong reddish orange, strong ,reddish orange 
#aa381e,deep reddish orange, deep ,reddish orange 
#cb6d51,moderate reddish orange, moderate ,reddish orange 
#9e4732,dark reddish orange, dark ,reddish orange 
#b4745e,grayish reddish orange, grayish ,reddish orange 
#882d17,strong reddish brown, strong ,reddish brown 
#56070c,deep reddish brown, deep ,reddish brown 
#a87c6d,light reddish brown, light ,reddish brown 
#79443b,moderate reddish brown, moderate ,reddish brown 
#3e1d1e,dark reddish brown, dark ,reddish brown 
#977f73,light grayish reddish brown, pale ,reddish brown 
#674c47,grayish reddish brown, grayish ,reddish brown 
#43302e,dark grayish reddish brown, dark grayish ,reddish brown 
#f38400,vivid orange, vivid ,orange 
#fd943f,brilliant orange, brilliant ,orange 
#ed872d,strong orange, strong ,orange 
#be6516,deep orange, deep ,orange 
#fab57f,light orange, light ,orange 
#d99058,moderate orange, moderate ,orange 
#ae6938,brownish orange, brownish ,orange 
#80461b,strong brown, strong ,brown 
#593319,deep brown, deep ,brown 
#a67b5b,light brown, light ,brown 
#6f4e37,moderate brown, moderate ,brown 
#422518,dark brown, dark ,brown 
#958070,light grayish brown, pale ,brown 
#635147,grayish brown, grayish ,brown 
#3e322c,dark grayish brown, dark grayish ,brown 
#8e8279,light brownish gray, light -ish gray ,brown 
#5b504f,brownish gray, -ish gray ,brown 
#28201c,brownish black, -ish black ,brown 
#f6a600,vivid orange yellow, vivid ,orange yellow 
