color_number,polygon_id,point_id,hue1,hue2,chroma,value
1,1,1,9RP,4R,11,6.5
1,1,2,9RP,4R,11,10
1,1,3,9RP,4R,50,10
1,1,4,9RP,4R,50,6.5
2,1,1,9RP,4R,7,6.5
2,1,2,9RP,4R,7,10
2,1,3,9RP,4R,11,10
2,1,4,9RP,4R,11,6.5
3,1,1,9RP,4R,7,5.5
3,1,2,9RP,4R,7,6.5
3,1,3,9RP,4R,15,6.5
3,1,4,9RP,4R,15,5.5
3,2,1,4R,6R,7,5.5
3,2,2,4R,6R,7,6.5
3,2,3,4R,6R,11,6.5
3,2,4,4R,6R,11,5.5
4,1,1,9RP,6R,3,8
4,1,2,9RP,6R,3,10
4,1,3,9RP,6R,7,10
4,1,4,9RP,6R,7,8
5,1,1,9RP,6R,3,6.5
5,1,2,9RP,6R,3,8
5,1,3,9RP,6R,7,8
5,1,4,9RP,6R,7,6.5
6,1,1,9RP,6R,5,5.5
6,1,2,9RP,6R,5,6.5
6,1,3,9RP,6R,7,6.5
6,1,4,9RP,6R,7,5.5
7,1,1,9RP,6R,1.5,8
7,1,2,9RP,6R,1.5,10
7,1,3,9RP,6R,3,10
7,1,4,9RP,6R,3,8
8,1,1,9RP,6R,1.5,6.5
8,1,2,9RP,6R,1.5,8
8,1,3,9RP,6R,3,8
8,1,4,9RP,6R,3,6.5
9,1,1,9RP,5YR,0.5,8.5
9,1,2,9RP,5YR,0.5,10
9,1,3,9RP,5YR,1.5,10
9,1,4,9RP,5YR,1.5,8.5
9,2,1,5YR,7YR,0.5,8.5
9,2,2,5YR,7YR,0.5,10
9,2,3,5YR,7YR,1.2,10
9,2,4,5YR,7YR,1.2,8.5
10,1,1,9RP,5YR,0.5,6.5
10,1,2,9RP,5YR,0.5,8.5
10,1,3,9RP,5YR,1.5,8.5
10,1,4,9RP,5YR,1.5,6.5
10,2,1,5YR,7YR,0.5,6.5
10,2,2,5YR,7YR,0.5,8.5
10,2,3,5YR,7YR,1.2,8.5
10,2,4,5YR,7YR,1.2,6.5
11,1,1,1R,7R,11,0
11,1,2,1R,7R,11,3.5
11,1,3,1R,7R,13,3.5
11,1,4,1R,7R,13,5.5
11,1,5,1R,7R,15,5.5
11,1,6,1R,7R,15,6.5
11,1,7,1R,7R,50,6.5
11,1,8,1R,7R,50,0
11,2,1,7R,9R,11,0
11,2,2,7R,9R,11,3.5
11,2,3,7R,9R,13,3.5
11,2,4,7R,9R,13,4.5
11,2,5,7R,9R,50,4.5
11,2,6,7R,9R,50,0
12,1,1,1R,7R,11,3.5
12,1,2,1R,7R,11,5.5
12,1,3,1R,7R,13,5.5
12,1,4,1R,7R,13,3.5
13,1,1,1R,9R,9,2
13,1,2,1R,9R,9,3.5
13,1,3,1R,9R,11,3.5
13,1,4,1R,9R,11,2
14,1,1,1R,9R,7,0
14,1,2,1R,9R,7,2
14,1,3,1R,9R,11,2
14,1,4,1R,9R,11,0
15,1,1,1R,7R,7,3.5
15,1,2,1R,7R,7,5.5
15,1,3,1R,7R,11,5.5
15,1,4,1R,7R,11,3.5
16,1,1,1R,6R,3,2
16,1,2,1R,6R,3,3.5
16,1,3,1R,6R,9,3.5
16,1,4,1R,6R,9,2
16,2,1,6R,9R,7,2
16,2,2,6R,9R,7,3.5
16,2,3,6R,9R,9,3.5
16,2,4,6R,9R,9,2
17,1,1,1R,6R,2,0
17,1,2,1R,6R,2,2
17,1,3,1R,6R,7,2
17,1,4,1R,6R,7,0
18,1,1,1R,8R,1.5,5.5
18,1,2,1R,8R,1.5,6.5
18,1,3,1R,8R,5,6.5
18,1,4,1R,8R,5,5.5
18,2,1,8R,1YR,1.5,5.5
18,2,2,8R,1YR,1.5,6.5
18,2,3,8R,1YR,3,6.5
18,2,4,8R,1YR,3,5.5
19,1,1,1R,8R,1.5,3.5
