color_number,iscc_nbs_color_name,iscc_nbs_formatter,alt_color_name, color_shade
1,pink,vivid {0},pink,pink
2,pink,strong {0},pink,pink
3,pink,deep {0},pink,pink
4,pink,light {0},pink,pink
5,pink,moderate {0},pink,pink
6,pink,dark {0},pink,pink
7,pink,pale {0},pink,pink
8,pink,grayish {0},pink,pink
9,pink,{1} white,pink,pink
10,pink,{1} gray,pink,pink
11,red,vivid {0},red,red
12,red,strong {0},red,red
13,red,deep {0},red,red
14,red,very deep {0},red,red
15,red,moderate {0},red,red
16,red,dark {0},red,red
17,red,very dark {0},red,red
18,red,pale {0},red,red
19,red,grayish {0},red,red
20,red,dark grayish {0},red,red
21,red,blackish {0},red,red
22,red,{1} gray,red,red
23,red,dark {1} gray,red,red
24,red,{1} black,red,red
25,yellowish pink,vivid {0},yellowish pink,pink
26,yellowish pink,strong {0},yellowish pink,pink
27,yellowish pink,deep {0},yellowish pink,pink
28,yellowish pink,light {0},yellowish pink,pink
29,yellowish pink,moderate {0},yellowish pink,pink
30,yellowish pink,dark {0},yellowish pink,pink
31,yellowish pink,pale {0},yellowish pink,pink
32,yellowish pink,grayish {0},yellowish pink,pink
33,pink,brownish {0},pink,pink
34,reddish orange,vivid {0},reddish orange,orange
35,reddish orange,strong {0},reddish orange,orange
36,reddish orange,deep {0},reddish orange,orange
37,reddish orange,moderate {0},reddish orange,orange
38,reddish orange,dark {0},reddish orange,orange
39,reddish orange,grayish {0},reddish orange,orange
40,reddish brown,strong {0},reddish brown,brown
41,reddish brown,deep {0},reddish brown,brown
42,reddish brown,light {0},reddish brown,brown
43,reddish brown,moderate {0},reddish brown,brown
44,reddish brown,dark {0},reddish brown,brown
45,reddish brown,pale {0},reddish brown,brown
46,reddish brown,grayish {0},reddish brown,brown
47,reddish brown,dark grayish {0},reddish brown,brown
48,orange,vivid {0},orange,orange
49,orange,brilliant {0},orange,orange
50,orange,strong {0},orange,orange
51,orange,deep {0},orange,orange
52,orange,light {0},orange,orange
53,orange,moderate {0},orange,orange
54,orange,brownish {0},orange,orange
55,brown,strong {0},brown,brown
56,brown,deep {0},brown,brown
57,brown,light {0},brown,brown
58,brown,moderate {0},brown,brown
59,brown,dark {0},brown,brown
60,brown,pale {0},brown,brown
61,brown,grayish {0},brown,brown
62,brown,dark grayish {0},brown,brown
63,brown,light {1} gray,brown,brown
64,brown,{1} gray,brown,brown
65,brown,{1} black,brown,brown
66,orange yellow,vivid {0},orange yellow,yellow
67,orange yellow,brilliant {0},orange yellow,yellow
68,orange yellow,strong {0},orange yellow,yellow
69,orange yellow,deep {0},orange yellow,yellow
70,orange yellow,light {0},orange yellow,yellow
71,orange yellow,moderate {0},orange yellow,yellow
72,orange yellow,dark {0},orange yellow,yellow
73,orange yellow,pale {0},orange yellow,yellow
74,yellowish brown,strong {0},yellowish brown,brown
75,yellowish brown,deep {0},yellowish brown,brown
76,yellowish brown,light {0},yellowish brown,brown
77,yellowish brown,moderate {0},yellowish brown,brown
78,yellowish brown,dark {0},yellowish brown,brown
79,yellowish brown,pale {0},yellowish brown,brown
80,yellowish brown,grayish {0},yellowish brown,brown
81,yellowish brown,dark grayish {0},yellowish brown,brown
82,yellow,vivid {0},yellow,yellow
