source,r,g,b,python_munsell,python_success,rust_munsell,rust_success,reference_munsell,match_analysis
random,57,12,140,2.2P 4.1/16.8,True,8.7PB 1.8/15.6,True,,DIFFERENT_ALGORITHMS
random,125,114,71,0.3GY 7.2/3.0,True,5.4Y 4.7/3.6,True,,DIFFERENT_ALGORITHMS
random,52,44,216,9.1PB 5.4/14.6,True,7.4PB 3.4/22.6,True,,DIFFERENT_ALGORITHMS
random,16,15,47,8.3PB 3.1/5.8,True,7.4B 0.6/3.9,True,,DIFFERENT_ALGORITHMS
random,111,119,13,2.6GY 7.1/8.7,True,1.3GY 4.7/7.6,True,,DIFFERENT_ALGORITHMS
reference,0,0,0,FAILED,False,N 0.0,True,N 0.0,RUST_MATCHES_REF
reference,0,68,119,5.7B 5.3/7.7,True,2.9PB 2.8/7.0,True,2.9PB 2.8/7.0,RUST_MATCHES_REF
reference,0,102,68,8.6G 6.1/9.0,True,3.4G 3.7/7.0,True,3.4G 3.7/7.0,RUST_MATCHES_REF
reference,0,34,17,4.5G 3.7/6.8,True,1.4G 1.0/3.8,True,1.4G 1.0/3.8,RUST_MATCHES_REF
reference,0,68,136,8.0B 5.4/8.6,True,5.1PB 2.9/9.1,True,5.1PB 2.9/9.1,RUST_MATCHES_REF
