Colour name:	coral
Number of non-unique CAUS samples:	279
Number of unique CAUS samples:	215
Centroid in Munsell coordinates:	6.53R 5.84/8.28
Centroid in Cartesian coordinates:	 7.59	 3.30	5.84
Polyhedron vertices in Munsell coordinates:
0.78R 6.05/13.05
1.16R 6.72/11.30
2.35R 7.62/6.36
2.82R 3.99/7.12
2.97R 4.07/6.42
3.03R 4.81/12.71
3.66R 5.40/13.90
4.04R 5.16/13.83
4.18R 3.87/10.09
4.21R 7.08/4.04
4.46R 6.69/11.88
4.93R 4.72/13.53
5.92R 4.49/12.90
6.41R 3.83/8.34
6.73R 7.56/7.86
7.04R 8.02/5.31
7.20R 4.38/11.40
7.93R 3.95/9.86
8.53R 7.18/10.05
8.57R 5.63/13.01
8.89R 4.76/10.82
8.91R 6.39/12.34
9.05R 4.46/9.67
0.06YR 5.70/11.21
2.10YR 7.05/8.78
2.95YR 7.80/3.55
3.47YR 8.00/5.99
3.70YR 4.04/4.17
3.87YR 8.16/5.14
4.45YR 7.12/5.85
4.70YR 8.11/3.63
4.84YR 5.77/5.86
4.95YR 8.13/4.06
5.45YR 6.82/5.12
Polyhedron vertices in Cartesian coordinates:
13.03	0.64	6.05
11.27	0.82	6.72
6.29	0.94	7.62
7.01	1.25	3.99
6.31	1.19	4.07
12.48	2.41	4.81
13.53	3.17	5.40
13.39	3.47	5.16
9.74	2.62	3.87
3.90	1.06	7.08
11.42	3.29	6.69
12.89	4.12	4.72
12.02	4.69	4.49
7.67	3.27	3.83
7.17	3.23	7.56
4.80	2.27	8.02
10.25	4.98	4.38
8.66	4.71	3.95
8.64	5.13	7.18
11.17	6.67	5.63
9.18	5.73	4.76
10.46	6.55	6.39
8.15	5.21	4.46
9.04	6.62	5.70
6.36	6.05	7.05
2.44	2.58	7.80
3.97	4.49	8.00
2.72	3.16	4.04
3.31	3.93	8.16
3.60	4.61	7.12
2.19	2.90	8.11
3.49	4.71	5.77
2.40	3.28	8.13
2.89	4.23	6.82
Polyhedron faces (each entry refers to a row in the listing of vertices):
22	20	7
18	28	14
28	10	5
13	12	20
3	10	31
11	22	7
22	11	19
24	25	32
28	24	32
22	24	20
25	24	22
17	13	20
18	17	20
17	18	13
10	26	31
26	28	31
28	26	10
28	4	14
4	28	5
9	12	13
9	18	14
18	9	13
4	9	14
33	29	31
29	16	31
16	3	31
3	16	2
1	11	7
11	1	2
1	4	5
1	9	4
10	1	5
3	1	10
1	3	2
25	30	32
29	27	19
27	22	19
27	25	22
30	27	29
27	30	25
21	18	20
24	21	20
15	11	2
16	15	2
11	15	19
15	29	19
15	16	29
20	8	7
12	8	20
33	34	29
34	30	29
30	34	32
34	28	32
34	33	31
28	34	31
23	24	28
23	21	24
23	28	18
21	23	18
1	6	9
9	6	12
6	8	12
6	1	7
8	6	7
Unique samples, with Munsell coordinates, from CAUS data:
2001	ss	youth	Caribbean-lit Coral	0.78R 6.05/13.05	0.78
1964-65	fw	silk	Carmen Coral	1.16R 6.72/11.30	1.16
1967	ss	silk	Coral Rose	1.40R 5.33/15.46	1.40
1975	ss	silk	Samoa Coral	1.59R 6.45/10.59	1.59
1958-59	fw	silk	Como Coral	1.65R 6.26/10.83	1.65
2003-04	fw	women	Cozy Coral	2.09R 3.73/12.33	2.09
1961	ss	silk	Coral Bud	2.16R 6.58/10.94	2.16
1961	ss	silk	Floral Coral	2.35R 7.62/6.36	2.35
1996	ss	youth	Jamaica Coral	2.63R 6.14/12.53	2.63
