Colour name:	gray
Number of non-unique CAUS samples:	599
Number of unique CAUS samples:	485
Centroid in Munsell coordinates:	9.62P 5.25/0.55
Centroid in Cartesian coordinates:	 0.43	-0.33	5.25
Polyhedron vertices in Munsell coordinates:
0.37R 2.68/1.04
3.16R 4.78/2.49
4.35R 4.29/2.13
7.10R 2.80/1.10
7.32R 2.09/0.60
9.42R 5.78/2.46
0.15YR 3.12/1.27
1.25YR 7.11/2.14
1.85YR 6.08/2.46
9.63YR 5.38/2.64
0.80Y 8.52/1.93
1.40Y 7.32/3.21
3.75Y 2.26/1.00
7.62Y 8.52/0.55
0.65GY 7.11/1.68
1.56GY 4.03/1.43
3.25GY 8.36/0.76
3.55GY 8.46/0.20
3.73GY 8.36/0.73
6.75GY 4.21/1.16
7.46GY 5.39/1.33
3.08B 7.07/1.27
4.36B 3.77/1.21
8.96B 7.75/1.29
9.25B 5.49/3.22
9.52B 2.65/1.01
2.64PB 2.10/0.76
3.29PB 8.01/0.64
4.53PB 5.21/3.85
4.83PB 6.69/2.29
5.20PB 3.17/2.22
7.00PB 3.77/3.10
7.61PB 4.77/4.04
7.78PB 6.16/2.80
0.14P 3.10/2.70
0.68P 3.47/3.08
1.10P 1.99/0.49
8.02P 4.46/2.90
4.82RP 5.27/2.44
Polyhedron vertices in Cartesian coordinates:
1.04	0.02	2.68
2.44	0.49	4.78
2.05	0.57	4.29
0.99	0.47	2.80
0.54	0.27	2.09
2.04	1.37	5.78
1.02	0.76	3.12
1.63	1.39	7.11
1.81	1.67	6.08
0.87	2.49	5.38
0.50	1.86	8.52
0.72	3.13	7.32
0.08	1.00	2.26
-0.09	0.54	8.52
-0.58	1.58	7.11
-0.57	1.31	4.03
-0.38	0.66	8.36
-0.10	0.17	8.46
-0.38	0.62	8.36
-0.78	0.86	4.21
-0.94	0.94	5.39
-0.86	-0.93	7.07
-0.75	-0.95	3.77
-0.48	-1.20	7.75
-1.14	-3.01	5.49
-0.34	-0.95	2.65
-0.11	-0.75	2.10
-0.07	-0.64	8.01
-0.11	-3.85	5.21
-0.02	-2.29	6.69
0.03	-2.22	3.17
0.39	-3.08	3.77
0.66	-3.99	4.77
0.49	-2.76	6.16
0.86	-2.56	3.10
1.08	-2.89	3.47
0.18	-0.45	1.99
2.12	-1.98	4.46
2.31	-0.78	5.27
Polyhedron faces (each entry refers to a row in the listing of vertices):
21	22	25
13	10	12
35	33	36
8	6	2
6	10	2
10	6	12
8	11	12
11	8	18
22	24	25
33	38	36
1	38	2
38	35	36
35	38	1
15	22	21
11	15	12
15	11	17
13	27	37
27	35	37
35	27	31
31	27	25
20	21	25
23	20	25
20	27	13
5	13	37
35	5	37
5	35	1
5	1	2
13	7	10
32	35	31
35	32	33
9	8	12
6	9	12
9	6	8
14	11	18
11	14	17
24	29	25
32	29	33
29	31	25
29	32	31
34	38	33
29	34	33
19	24	22
15	19	22
19	15	17
24	19	18
19	14	18
14	19	17
39	8	2
38	39	2
34	39	38
8	39	18
26	23	25
27	26	25
26	20	23
20	26	27
16	13	12
16	20	13
20	16	21
15	16	12
16	15	21
10	3	2
7	3	10
5	4	13
4	7	13
4	3	7
4	5	2
3	4	2
28	24	18
28	34	24
39	28	18
28	39	34
30	29	24
34	30	24
30	34	29
Unique samples, with Munsell coordinates, from CAUS data:
1987-88	fw	men	Stonebridge Grey	N3.07	-99.00
1987-88	fw	women	Dusk Grey	N7.13	-99.00
1995	ss	youth	Turning Gray	N7.23	-99.00
1946-47	fw	silk	Bird Grey	0.21R 6.43/1.41	0.21
1944-45	fw	silk	Greymetal	0.27R 4.04/1.48	0.27
1986-87	fw	men	Dobbs Ferry Grey	0.37R 2.68/1.04	0.37
1927-28	fw	women	Grey Dawn	0.42R 4.89/0.88	0.42
1935-36	fw	women	Nickel Grey	0.56R 4.67/0.58	0.56
1936-37	fw	women	Custom grey	0.66R 3.61/0.83	0.66
1988-89	fw	men	Quartz Grey	0.98R 3.86/2.66	0.98
1949-50	fw	silk	Nocturne Grey	0.99R 3.36/0.94	0.99
1933-34	fw	women	Cartridge Grey	1.62R 3.31/0.36	1.62
1939	ss	women	Aero Grey	1.64R 4.71/1.37	1.64
1931	ss	silk	Nebular Grey	2.12R 5.18/0.66	2.12
1945-46	fw	silk	Greydove	2.79R 6.29/1.34	2.79
1949	ss	silk	Grey Sky	3.03R 6.61/1.03	3.03
1984-85	fw	men	Rose Grey	3.16R 4.78/2.49	3.16
1997	ss	men	Earl Grey	3.34R 5.66/0.36	3.34
1941	ss	silk	Colonial Grey	3.39R 6.28/0.79	3.39
1930-31	fw	silk	Taupe Grey	3.49R 4.28/1.27	3.49
1927	ss	women	Dover Grey	3.58R 4.16/0.38	3.58
1926	ss	silk	Metallic Grey	3.66R 5.55/1.16	3.66
1959	ss	silk	Gray Earth	3.76R 4.73/0.71	3.76
1935	ss	silk	Monaco Grey	4.28R 4.16/1.07	4.28
1936-37	fw	silk	Tailleur Grey	4.35R 4.29/2.13	4.35
1937-38	fw	silk	Mayfair Grey	4.43R 3.34/0.82	4.43
1946	ss	silk	Aerial Grey	4.74R 5.59/1.42	4.74
1951	ss	silk	Gray Heather	4.92R 5.92/1.12	4.92
1953-54	fw	silk	Fresco Gray	5.29R 5.98/0.52	5.29
1933-34	fw	women	Towngrey	5.99R 5.13/0.89	5.99
1989-90	fw	women	Elephant Gray	6.28R 3.38/1.39	6.28
1927	ss	women	Grey Dawn	6.39R 5.26/0.62	6.39
1932-33	fw	silk	Cannes Grey	6.43R 5.90/1.07	6.43
1930-31	fw	silk	Chantilly Grey	6.46R 5.40/1.55	6.46
1999-00	fw	women	Night Gray	6.50R 1.86/0.31	6.50
1934	ss	women	Nugrey	6.53R 5.38/0.55	6.53
1992	ss	men	Estuary Gray	6.77R 5.03/1.18	6.77
1999-2000	na	interiors	Dark Reddish Gray	6.84R 3.37/1.25	6.84
1936-37	fw	silk	Autumn Grey	6.88R 5.72/0.93	6.88
