Colour name:	mauve
Number of non-unique CAUS samples:	238
Number of unique CAUS samples:	181
Centroid in Munsell coordinates:	1.19RP 5.15/3.85
Centroid in Cartesian coordinates:	 3.28	-2.02	5.15
Polyhedron vertices in Munsell coordinates:
6.12R 7.99/2.53
9.25R 3.26/1.81
0.49YR 3.56/1.06
1.11YR 4.43/2.35
2.31YR 7.62/1.47
2.58YR 6.58/1.07
2.94YR 7.77/1.60
3.36YR 8.01/2.23
3.44YR 3.83/2.15
4.89YR 7.01/2.49
4.91YR 6.00/2.22
7.06YR 5.69/1.37
7.81PB 4.73/3.17
8.91PB 4.00/3.88
9.77PB 6.25/4.27
9.95PB 3.53/4.88
0.70P 4.22/5.53
1.27P 4.66/5.88
1.71P 7.22/2.32
2.64P 3.10/2.14
2.84P 6.16/4.85
3.29P 3.38/6.76
3.64P 3.95/6.80
5.12P 4.78/7.07
5.60P 6.71/4.93
5.71P 5.68/0.90
6.27P 7.15/3.67
6.95P 2.29/3.18
8.01P 4.25/7.90
8.56P 7.45/3.31
9.86P 5.26/8.24
9.86P 6.98/5.40
0.42RP 3.05/1.16
1.20RP 3.27/6.02
1.59RP 6.00/8.41
1.94RP 5.27/9.13
2.79RP 4.44/7.92
3.10RP 2.42/2.94
3.49RP 4.65/7.79
5.49RP 7.20/5.95
6.70RP 3.05/3.83
7.60RP 6.85/6.00
8.11RP 5.34/5.57
8.92RP 4.34/5.15
Polyhedron vertices in Cartesian coordinates:
2.35	0.95	7.99
1.51	0.99	3.26
0.84	0.65	3.56
1.80	1.51	4.43
1.05	1.03	7.62
0.75	0.76	6.58
1.10	1.16	7.77
1.49	1.66	8.01
1.43	1.61	3.83
1.48	2.00	7.01
1.32	1.79	6.00
0.66	1.20	5.69
0.56	-3.12	4.73
0.94	-3.76	4.00
1.26	-4.08	6.25
1.49	-4.65	3.53
1.94	-5.18	4.22
2.26	-5.43	4.66
0.95	-2.12	7.22
0.99	-1.90	3.10
2.29	-4.27	6.16
3.36	-5.86	3.38
3.51	-5.82	3.95
4.20	-5.69	4.78
3.05	-3.88	6.71
0.56	-0.70	5.68
2.39	-2.79	7.15
2.17	-2.32	2.29
5.76	-5.40	4.25
2.49	-2.18	7.45
6.62	-4.90	5.26
4.34	-3.21	6.98
0.96	-0.66	3.05
5.12	-3.16	3.27
7.26	-4.24	6.00
7.98	-4.43	5.27
7.12	-3.47	4.44
2.67	-1.24	2.42
7.15	-3.10	4.65
5.71	-1.66	7.20
3.75	-0.79	3.05
5.93	-0.90	6.85
5.53	-0.66	5.34
5.14	-0.35	4.34
Polyhedron faces (each entry refers to a row in the listing of vertices):
16	22	28
9	12	3
16	14	13
15	16	13
3	26	13
12	26	3
12	11	10
11	9	10
9	11	12
20	16	28
20	14	16
14	20	13
40	32	30
35	32	40
1	40	30
8	1	30
7	12	10
8	7	10
35	42	36
42	35	40
1	42	40
44	42	10
42	1	8
42	8	10
9	4	10
4	44	10
44	4	9
2	44	9
2	9	3
