Colour name:	red
Number of non-unique CAUS samples:	813
Number of unique CAUS samples:	662
Centroid in Munsell coordinates:	4.27R 3.79/8.82
Centroid in Cartesian coordinates:	 8.51	 2.34	3.79
Polyhedron vertices in Munsell coordinates:
0.48R 3.33/12.39
1.18R 5.07/8.96
2.70R 4.21/14.97
3.33R 5.38/8.13
3.57R 1.44/4.76
3.59R 3.45/13.00
4.56R 5.54/13.24
4.62R 4.79/15.36
4.77R 5.36/6.40
5.32R 2.53/10.48
5.49R 5.93/11.41
5.56R 5.73/8.38
5.80R 1.41/2.19
6.03R 4.95/15.52
6.56R 3.64/2.66
6.58R 3.92/15.25
6.72R 4.24/15.40
7.26R 5.16/14.64
7.47R 1.37/2.79
7.49R 4.43/15.29
7.56R 3.42/13.84
7.70R 5.75/8.83
7.81R 3.15/2.32
8.05R 4.76/14.92
8.86R 3.74/13.14
9.04R 4.45/13.58
9.05R 2.16/8.17
9.22R 5.07/12.73
0.09YR 4.27/9.30
0.94YR 2.40/6.17
0.99YR 5.32/6.94
1.34YR 3.20/4.81
3.31RP 2.91/8.17
6.95RP 1.99/5.87
7.46RP 3.85/3.87
8.31RP 1.72/4.12
8.34RP 4.27/13.02
8.55RP 4.25/13.49
9.56RP 3.18/11.70
Polyhedron vertices in Cartesian coordinates:
12.38	0.37	3.33
8.94	0.66	5.07
14.76	2.53	4.21
7.95	1.69	5.38
4.64	1.06	1.44
12.67	2.91	3.45
12.70	3.74	5.54
14.72	4.40	4.79
6.11	1.89	5.36
9.90	3.44	2.53
10.74	3.86	5.93
7.87	2.87	5.73
2.05	0.78	1.41
14.42	5.74	4.95
2.44	1.07	3.64
13.97	6.13	3.92
14.05	6.31	4.24
13.14	6.45	5.16
2.49	1.26	1.37
13.63	6.93	4.43
12.31	6.33	3.42
7.82	4.11	5.75
2.05	1.09	3.15
13.05	7.23	4.76
11.16	6.94	3.74
11.45	7.31	4.45
6.88	4.40	2.16
10.65	6.97	5.07
7.49	5.51	4.27
4.77	3.91	2.40
5.35	4.42	5.32
3.64	3.14	3.20
7.46	-3.33	2.91
5.76	-1.12	1.99
3.82	-0.62	3.85
4.10	-0.44	1.72
12.95	-1.36	4.27
13.43	-1.23	4.25
11.70	-0.32	3.18
Polyhedron faces (each entry refers to a row in the listing of vertices):
38	39	33
9	15	31
1	38	3
38	1	39
7	38	11
30	25	26
20	25	21
32	30	31
22	28	11
28	22	31
28	18	11
18	7	11
7	18	14
30	29	31
29	28	31
29	30	26
28	29	26
32	23	13
15	23	31
23	32	31
35	9	33
9	35	15
35	23	15
35	33	13
23	35	13
16	20	21
16	1	3
39	34	33
5	34	39
25	27	21
27	25	30
27	10	21
10	27	5
10	16	21
10	5	39
1	10	39
8	7	14
8	16	3
38	8	3
7	8	38
12	9	31
22	12	31
12	22	11
12	4	9
24	18	28
24	28	26
24	20	14
18	24	14
25	24	26
24	25	20
9	2	33
4	2	9
2	12	11
12	2	4
20	17	14
16	17	20
17	8	14
8	17	16
36	5	13
36	34	5
33	36	13
34	36	33
5	19	13
27	19	5
19	27	30
19	32	13
32	19	30
16	6	1
6	10	1
10	6	16
37	38	33
2	37	33
38	37	11
37	2	11
Unique samples, with Munsell coordinates, from CAUS data:
1994	ss	youth	Barcelona Red	0.03R 4.77/15.04	0.03
1940-41	fw	women	Relay Red	0.06R 3.11/9.76	0.06
1943	ss	silk	Symphony Red	0.12R 3.97/12.26	0.12
1950-51	fw	silk	Rendezvous Red	0.14R 3.65/11.10	0.14
1955-56	fw	women	Orient Red	0.15R 3.05/9.48	0.15
1939	ss	women	Hula Red	0.22R 3.44/9.74	0.22
1965	ss	women	Red Rambler	0.29R 3.21/10.64	0.29
