Colour name:	yellow
Number of non-unique CAUS samples:	470
Number of unique CAUS samples:	394
Centroid in Munsell coordinates:	2.64Y 7.44/7.98
Centroid in Cartesian coordinates:	 1.18	 7.90	7.44
Polyhedron vertices in Munsell coordinates:
4.72YR 6.62/10.64
7.01YR 7.57/10.29
7.66YR 7.06/13.12
7.86YR 5.97/9.67
8.42YR 7.60/4.07
9.20YR 7.96/3.52
0.24Y 7.77/12.94
0.82Y 7.16/13.28
1.43Y 8.83/5.46
1.97Y 8.41/11.81
2.43Y 5.43/7.43
2.51Y 4.84/5.30
2.66Y 5.74/8.46
3.14Y 8.94/8.39
3.28Y 5.73/4.23
3.89Y 8.32/13.55
4.27Y 8.68/2.53
4.44Y 8.67/12.03
4.67Y 5.87/7.75
4.90Y 9.28/4.95
4.93Y 8.88/9.66
5.80Y 7.79/12.12
5.80Y 9.21/3.88
6.54Y 8.05/11.81
6.72Y 9.06/3.58
7.24Y 8.81/10.76
8.06Y 9.05/5.35
8.08Y 8.93/8.80
8.10Y 8.85/9.80
8.76Y 7.19/8.47
9.62Y 8.63/10.15
9.88Y 8.46/9.84
0.10GY 8.26/3.69
0.95GY 8.71/5.41
1.19GY 7.92/5.67
Polyhedron vertices in Cartesian coordinates:
6.40	8.50	6.62
4.95	9.02	7.57
5.84	11.75	7.06
4.19	8.71	5.97
1.64	3.73	7.60
1.25	3.29	7.96
3.81	12.37	7.77
3.45	12.82	7.16
1.21	5.32	8.83
2.23	11.60	8.41
1.19	7.33	5.43
0.83	5.24	4.84
1.24	8.37	5.74
0.98	8.33	8.94
0.46	4.21	5.73
0.94	13.52	8.32
0.12	2.53	8.68
0.42	12.02	8.67
0.16	7.75	5.87
0.03	4.95	9.28
0.04	9.66	8.88
-0.61	12.10	7.79
-0.19	3.88	9.21
-1.14	11.75	8.05
-0.39	3.56	9.06
-1.51	10.65	8.81
-1.02	5.25	9.05
-1.69	8.64	8.93
-1.90	9.61	8.85
-1.98	8.23	7.19
-2.91	9.73	8.63
-2.97	9.38	8.46
-1.16	3.50	8.26
-1.98	5.04	8.71
-2.15	5.25	7.92
Polyhedron faces (each entry refers to a row in the listing of vertices):
4	12	1
35	15	12
12	15	1
15	5	1
35	30	32
30	35	12
11	13	12
4	11	12
11	8	13
8	11	4
15	33	17
33	15	35
33	25	17
6	15	17
15	6	5
6	17	1
5	6	1
13	19	12
19	30	12
2	14	10
14	2	20
17	9	1
9	2	1
2	9	20
28	26	20
34	35	32
34	33	35
33	34	25
16	7	10
19	22	30
22	19	13
8	22	13
22	8	16
31	34	32
26	31	16
18	26	16
18	16	10
14	18	10
18	14	20
31	27	34
27	28	20
27	31	28
3	2	10
7	3	10
2	3	1
3	4	1
3	8	4
8	3	16
3	7	16
29	26	28
31	29	28
29	31	26
24	22	16
31	24	16
24	31	32
30	24	32
22	24	30
26	21	20
21	18	20
18	21	26
34	23	25
27	23	34
23	27	20
25	23	17
23	9	17
9	23	20
Unique samples, with Munsell coordinates, from CAUS data:
1980-81	fw	women	Pumpkin Yellow	2.01YR 6.55/14.00	12.01
1932	ss	women	Pumpkin Yellow	4.72YR 6.62/10.64	14.72
1932-33	fw	silk	Persian Yellow	5.51YR 6.89/9.04	15.51
1940-41	fw	silk	Yellow Rose	6.31YR 7.30/4.81	16.31
1928-29	fw	silk	Sunrise Yellow	6.62YR 7.09/6.38	16.62
2002	ss	women	Ocher Yellow	6.85YR 4.45/7.90	16.85
1998	ss	men	Tribal Yellow	7.00YR 6.53/9.50	17.00
1989	ss	women	Yellow	7.01YR 7.57/10.29	17.01
2000-01	fw	men	Eternal Yellow	7.04YR 6.61/10.44	17.04
2005	ss	youth	Go-Go Yellow	7.45YR 5.84/14.19	17.45
1934	ss	silk	Bagdad Yellow	7.50YR 6.66/10.65	17.50
1994	ss	youth	Rollerblade Yellow	7.66YR 7.06/13.12	17.66
1999	ss	youth	Beachball Yellow	7.81YR 7.08/9.69	17.81
1985-86	fw	men	Medal Yellow	7.82YR 7.09/9.30	17.82
1998-99	fw	youth	Nightwatch Yellow	7.84YR 7.52/10.61	17.84
2014-15	na	interiors	Deep Orange Yellow	7.86YR 5.97/9.67	17.86
1991	ss	youth	Goldenrod Yellow	8.08YR 6.55/10.91	18.08
1952	ss	women	Wine Yellow	8.10YR 6.23/6.29	18.10
1989	ss	youth	Indian Yellow	8.32YR 7.09/11.89	18.32
1927-28	fw	silk	Yellow Beige	8.34YR 5.80/5.14	18.34
2007	ss	youth	Vivid Orange Yellow	8.41YR 6.83/12.26	18.41
1999-2000	fw	men	Pebble Yellow	8.42YR 7.60/4.07	18.42
1995-96	fw	women	Strong Orange Yellow	8.43YR 6.75/11.34	18.43
1947	ss	women	Ceramic Yellow	8.47YR 7.04/6.23	18.47
2008	ss	youth	Vivid Orange Yellow	8.51YR 6.88/12.23	18.51
1949	ss	women	Majolica Yellow	8.62YR 6.32/6.77	18.62
1988-89	fw	women	Plastic Yellow	8.70YR 6.89/10.81	18.70
1943	ss	silk	Apricot Yellow	8.96YR 6.86/4.94	18.96
1989-90	fw	youth	Sun Valley Yellow	8.99YR 6.81/14.22	18.99
1967	ss	women	Yellow Sun	9.07YR 7.45/8.01	19.07
1972-73	fw	men	Sunglow Yellow	9.20YR 5.97/9.44	19.20
1998	ss	women	Low-Moon Yellow	9.20YR 7.96/3.52	19.20
1987-88	fw	youth	Sun Yellow	9.31YR 6.88/9.63	19.31
1995-96	fw	women	Dark Orange Yellow	9.36YR 6.09/7.26	19.36
2002-03	fw	women	Camel Yellow	9.38YR 5.75/7.24	19.38
1957	ss	silk	Leghorn Yellow	9.62YR 6.87/4.90	19.62
1994	ss	youth	Back-to-Nature Yellow	9.64YR 7.62/12.04	19.64
1952	ss	silk	Blond Yellow	9.70YR 7.79/4.41	19.70
1994	ss	women	Yachting Yellow	9.77YR 7.47/11.79	19.77
