name,coordinates
Eye Blue,#98AFBA
Murano Soft Blue,#C5D6EE
Marble Blue,#868FA9
Smoking Night Blue,#43454C
Blue Gem,#2C0E8C
Byzantine Blue,#006C6E
Periglacial Blue,#E1E6D6
Absolute Blue,#003FB2
LED Blue,#0066A3
Suit Blue,#2B3036
Lebanese Blue,#025FA9
Kali Blue,#00505A
Blue Zircon,#079AAE
Blue Perennial,#487CB8
Anthracite Blue,#3D475E
Light Tropical Blue,#C3DDF9
Iceberg Blue,#DAF4F0
Baritone Blue,#262835
Sunset Blue,#63789D
Kasbah Blue,#005895
Brooklyn Blue,#465F73
Windsor Blue,#091325
Second Blue,#75A0C5
Greek Blue (RAL Design),#009FBD
Blue Ball,#0896DB
Blue Bark,#041322
Bondi Deep Blue,#02478E
Fresh Baby Blue,#90C8FF
Tennis Blue,#7CB5C6
Navy Blue (RAL Design),#00659D
Candy Blue,#0100E0
Retina Soft Blue,#B6C7E0
Blue Shade,#243866
Spitsbergen Blue,#6F757D
Blue Dash,#2663C1
Pattens Blue,#DEF5FF
Tartan Clear Blue,#AFC8DC
China Green Blue,#3A6468
Palace Blue,#11103E
Deep Atlantic Blue,#004F57
Uplifting Blue,#B2C2F0
Cute Sky Blue,#C3E4F8
Placid Blue,#8BADD3
Persian Blue (RAL Design),#89B3B6
Bluebird,#D9E9F6
Cloudburst Blue,#1F2D51
Balance Blue,#475EBE
Directoire Blue,#0062A3
Astronaut Blue,#013E62
Blue-black (RAL Design),#24313D
Blue Radiance,#58C8D4
Space Blue,#181E4C
Bahama Blue,#026395
Teal Blue (Xona),#044259
Thistleblossom Soft Blue,#8AB3BF
Blue Chalk,#F1E9FF
Blue Smoke,#748881
Refreshing Baby Blue,#92E2F6
Out of the Blue,#00A4CC
Garnet Stone Blue,#384866
Deep Turquoise Teal,#098175
Authentic Teal,#035356
Oceanic Teal,#115762
Egyptian Teal,#0C7F85
Bold Teal,#006469
Abstract Teal,#2B5B5B
Sports Teal,#196A87
Dusky Teal,#537677
Attractive Teal,#247377
Teal (Paint),#4F5F5F
Beautiful Teal,#057B80
Cute Teal,#8CCECE
Nobel Teal,#055F5F
Teal The Show,#377A8D
Kawaii Teal,#7BB1B3
Charming Teal,#5DA7A8
Teal Blue (Crayola),#008080
Light Teal (RAL Design),#B1CCC5
Simple Teal,#1D8489
Teal Blue (Pantone),#007F7B
Teal Grunge,#276A6E
Royal Teal,#116C6E
Light Teal Blue,#518E99
Teal Deer,#99E6B3
Teal Grey,#5E7D7E
Light Teal Green,#2E9F90
Clear Teal,#66B5B3
Real Teal (Pantone),#405D73
Teal Dark Green,#006D57
Teal Green (Pantone),#006361
Teal (Pantone),#478589
Chinese Teal,#338091
Deep Teal (Pantone),#19454B
Neutral Teal,#7E9394
Vibrant Teal,#00D1CF
Crystal Teal,#00637C
Tahitian Teal,#00899B
Exotic Teal,#11A9A8
Teal Dark Blue,#0F4D5C
Indian Teal,#3C586B
Teal Blue (RAL Design),#97D1CB
Blue Wing Teal,#2C4053
Coral Teal,#198690
Dark Teal (RAL Design),#007167
Solid Teal,#167473
Shiny Teal,#00B3B6
Real Teal,#348F91
Dusty Teal,#769393
Dark Teal Blue,#215D6E
Misty Teal,#688C8C
Spring Teal,#0EA7A5
Teal Green,#098577
Muted Teal,#6B9797
Dark Teal Green,#18615B
Peacock Teal,#0C7478
Dark Teal,#045D5D
Light Teal,#1EA1A1
Deep Teal,#005F5F
Neon Teal,#00CAB1
Dark Clover Green,#384910
Light Coriander Green,#C4D0B0
Ink Green,#1C6A35
Funky Green,#078E55
