name,coordinates
Air Force blue,#5D8AA8
#5d8aa8,#5D8AA8
Alice blue,#F0F8FF
#f0f8ff,#F0F8FF
Alizarin crimson,#E32636
#e32636,#E32636
Almond,#EFDECD
#efdecd,#EFDECD
Amaranth,#E52B50
#e52b50,#E52B50
Amber,#FFBF00
#ffbf00,#FFBF00
American rose,#FF033E
#ff033e,#FF033E
Amethyst,#9966CC
#9966cc,#9966CC
Android Green,#A4C639
#a4c639,#A4C639
Anti-flash white,#F2F3F4
#f2f3f4,#F2F3F4
Antique brass,#CD9575
#cd9575,#CD9575
Antique fuchsia,#915C83
#915c83,#915C83
Antique white,#FAEBD7
#faebd7,#FAEBD7
#008000,#008000
Apple green,#8DB600
#8db600,#8DB600
Apricot,#FBCEB1
#fbceb1,#FBCEB1
Aqua,#00FFFF
#00ffff,#00FFFF
Aquamarine,#7FFFD4
#7fffd4,#7FFFD4
Army green,#4B5320
#4b5320,#4B5320
Arylide yellow,#E9D66B
#e9d66b,#E9D66B
Ash grey,#B2BEB5
#b2beb5,#B2BEB5
Asparagus,#87A96B
#87a96b,#87A96B
Atomic tangerine,#FF9966
#ff9966,#FF9966
Auburn,#A52A2A
#a52a2a,#A52A2A
Aureolin,#FDEE00
#fdee00,#FDEE00
AuroMetalSaurus,#6E7F80
#6e7f80,#6E7F80
Awesome,#FF2052
#ff2052,#FF2052
Azure,#007FFF
#007fff,#007FFF
Azure mist/web,#F0FFFF
#f0ffff,#F0FFFF
Baby blue,#89CFF0
#89cff0,#89CFF0
Baby blue eyes,#A1CAF1
#a1caf1,#A1CAF1
Baby pink,#F4C2C2
#f4c2c2,#F4C2C2
Ball Blue,#21ABCD
#21abcd,#21ABCD
Banana Mania,#FAE7B5
#fae7b5,#FAE7B5
Banana yellow,#FFE135
#ffe135,#FFE135
Battleship grey,#848482
#848482,#848482
Bazaar,#98777B
#98777b,#98777B
Beau blue,#BCD4E6
#bcd4e6,#BCD4E6
Beaver,#9F8170
#9f8170,#9F8170
Beige,#F5F5DC
#f5f5dc,#F5F5DC
Bisque,#FFE4C4
#ffe4c4,#FFE4C4
Bistre,#3D2B1F
#3d2b1f,#3D2B1F
Bittersweet,#FE6F5E
#fe6f5e,#FE6F5E
Black,#000000
#000000,#000000
Blanched Almond,#FFEBCD
#ffebcd,#FFEBCD
Bleu de France,#318CE7
#318ce7,#318CE7
Blizzard Blue,#ACE5EE
#ace5ee,#ACE5EE
Blond,#FAF0BE
#faf0be,#FAF0BE
Blue,#0000FF
#0000ff,#0000FF
Blue Bell,#A2A2D0
#a2a2d0,#A2A2D0
Blue Gray,#6699CC
#6699cc,#6699CC
Blue green,#0D98BA
#0d98ba,#0D98BA
Blue purple,#8A2BE2
#8a2be2,#8A2BE2
Blue violet,#8A2BE2
Blush,#DE5D83
#de5d83,#DE5D83
Bole,#79443B
#79443b,#79443B
Bondi blue,#0095B6
#0095b6,#0095B6
Bone,#E3DAC9
#e3dac9,#E3DAC9
Boston University Red,#CC0000
#cc0000,#CC0000
Bottle green,#006A4E
#006a4e,#006A4E
Boysenberry,#873260
#873260,#873260
Brandeis blue,#0070FF
#0070ff,#0070FF
Brass,#B5A642
#b5a642,#B5A642
Brick red,#CB4154
#cb4154,#CB4154
Bright cerulean,#1DACD6
#1dacd6,#1DACD6
Bright green,#66FF00
#66ff00,#66FF00
Bright lavender,#BF94E4
#bf94e4,#BF94E4
Bright maroon,#C32148
#c32148,#C32148
Bright pink,#FF007F
#ff007f,#FF007F
Bright turquoise,#08E8DE
#08e8de,#08E8DE
Bright ube,#D19FE8
#d19fe8,#D19FE8
Brilliant lavender,#F4BBFF
#f4bbff,#F4BBFF
Brilliant rose,#FF55A3
#ff55a3,#FF55A3
Brink pink,#FB607F
#fb607f,#FB607F
British racing green,#004225
#004225,#004225
Bronze,#CD7F32
#cd7f32,#CD7F32
Brown,#A52A2A
Bubble gum,#FFC1CC
#ffc1cc,#FFC1CC
Bubbles,#E7FEFF
#e7feff,#E7FEFF
Buff,#F0DC82
#f0dc82,#F0DC82
Bulgarian rose,#480607
#480607,#480607
Burgundy,#800020
#800020,#800020
Burlywood,#DEB887
#deb887,#DEB887
Burnt orange,#CC5500
#cc5500,#CC5500
Burnt sienna,#E97451
#e97451,#E97451
Burnt umber,#8A3324
#8a3324,#8A3324
Byzantine,#BD33A4
#bd33a4,#BD33A4
Byzantium,#702963
#702963,#702963
CG Blue,#007AA5
#007aa5,#007AA5
CG Red,#E03C31
#e03c31,#E03C31
Cadet,#536872
#536872,#536872
Cadet blue,#5F9EA0
#5f9ea0,#5F9EA0
Cadet grey,#91A3B0
#91a3b0,#91A3B0
Cadmium green,#006B3C
#006b3c,#006B3C
Cadmium orange,#ED872D
#ed872d,#ED872D
Cadmium red,#E30022
#e30022,#E30022
Cadmium yellow,#FFF600
#fff600,#FFF600
Café au lait,#A67B5B
#a67b5b,#A67B5B
Café noir,#4B3621
#4b3621,#4B3621
Cal Poly Pomona green,#1E4D2B
#1e4d2b,#1E4D2B
Cambridge Blue,#A3C1AD
#a3c1ad,#A3C1AD
Camel,#C19A6B
#c19a6b,#C19A6B
Camouflage green,#78866B
#78866b,#78866B
Canary,#FFFF99
#ffff99,#FFFF99
Canary yellow,#FFEF00
#ffef00,#FFEF00
Candy apple red,#FF0800
#ff0800,#FF0800
Candy pink,#E4717A
#e4717a,#E4717A
Capri,#00BFFF
#00bfff,#00BFFF
Caput mortuum,#592720
#592720,#592720
Cardinal,#C41E3A
#c41e3a,#C41E3A
Caribbean green,#00CC99
#00cc99,#00CC99
Carmine,#FF0040
#ff0040,#FF0040
Carmine pink,#EB4C42
#eb4c42,#EB4C42
Carmine red,#FF0038
#ff0038,#FF0038
Carnation pink,#FFA6C9
#ffa6c9,#FFA6C9
Carnelian,#B31B1B
#b31b1b,#B31B1B
Carolina blue,#99BADD
#99badd,#99BADD
Carrot orange,#ED9121
#ed9121,#ED9121
Celadon,#ACE1AF
#ace1af,#ACE1AF
Celeste,#B2FFFF
#b2ffff,#B2FFFF
Celestial blue,#4997D0
#4997d0,#4997D0
Cerise,#DE3163
#de3163,#DE3163
Cerise pink,#EC3B83
#ec3b83,#EC3B83
Cerulean,#007BA7
#007ba7,#007BA7
Cerulean blue,#2A52BE
#2a52be,#2A52BE
Chamoisee,#A0785A
#a0785a,#A0785A
Champagne,#FAD6A5
#fad6a5,#FAD6A5
Charcoal,#36454F
#36454f,#36454F
Chartreuse,#7FFF00
#7fff00,#7FFF00
Cherry,#DE3163
Cherry blossom pink,#FFB7C5
#ffb7c5,#FFB7C5
Chestnut,#CD5C5C
#cd5c5c,#CD5C5C
Chocolate,#D2691E
#d2691e,#D2691E
Chrome yellow,#FFA700
#ffa700,#FFA700
Cinereous,#98817B
#98817b,#98817B
Cinnabar,#E34234
#e34234,#E34234
Cinnamon,#D2691E
Citrine,#E4D00A
#e4d00a,#E4D00A
Classic rose,#FBCCE7
#fbcce7,#FBCCE7
Cobalt,#0047AB
#0047ab,#0047AB
Cocoa brown,#D2691E
Coffee,#6F4E37
#6f4e37,#6F4E37
Columbia blue,#9BDDFF
#9bddff,#9BDDFF
Cool black,#002E63
#002e63,#002E63
Cool grey,#8C92AC
#8c92ac,#8C92AC
Copper,#B87333
#b87333,#B87333
Copper rose,#996666
#996666,#996666
Coquelicot,#FF3800
#ff3800,#FF3800
Coral,#FF7F50
#ff7f50,#FF7F50
Coral pink,#F88379
#f88379,#F88379
Coral red,#FF4040
#ff4040,#FF4040
Cordovan,#893F45
#893f45,#893F45
Corn,#FBEC5D
#fbec5d,#FBEC5D
Cornell Red,#B31B1B
Cornflower,#9ACEEB
#9aceeb,#9ACEEB
Cornflower blue,#6495ED
#6495ed,#6495ED
Cornsilk,#FFF8DC
#fff8dc,#FFF8DC
Cosmic latte,#FFF8E7
#fff8e7,#FFF8E7
Cotton candy,#FFBCD9
#ffbcd9,#FFBCD9
Cream,#FFFDD0
#fffdd0,#FFFDD0
Crimson,#DC143C
#dc143c,#DC143C
Crimson Red,#990000
#990000,#990000
Crimson glory,#BE0032
#be0032,#BE0032
Cyan,#00FFFF
Daffodil,#FFFF31
#ffff31,#FFFF31
Dandelion,#F0E130
#f0e130,#F0E130
Dark blue,#00008B
#00008b,#00008B
Dark brown,#654321
#654321,#654321
Dark byzantium,#5D3954
#5d3954,#5D3954
Dark candy apple red,#A40000
#a40000,#A40000
Dark cerulean,#08457E
#08457e,#08457E
Dark chestnut,#986960
#986960,#986960
Dark coral,#CD5B45
#cd5b45,#CD5B45
Dark cyan,#008B8B
#008b8b,#008B8B
Dark electric blue,#536878
#536878,#536878
Dark goldenrod,#B8860B
#b8860b,#B8860B
Dark gray,#A9A9A9
#a9a9a9,#A9A9A9
Dark green,#013220
#013220,#013220
Dark jungle green,#1A2421
#1a2421,#1A2421
Dark khaki,#BDB76B
#bdb76b,#BDB76B
Dark lava,#483C32
#483c32,#483C32
Dark lavender,#734F96
#734f96,#734F96
Dark magenta,#8B008B
#8b008b,#8B008B
Dark midnight blue,#003366
#003366,#003366
Dark olive green,#556B2F
#556b2f,#556B2F
Dark orange,#FF8C00
#ff8c00,#FF8C00
Dark orchid,#9932CC
#9932cc,#9932CC
Dark pastel blue,#779ECB
#779ecb,#779ECB
Dark pastel green,#03C03C
#03c03c,#03C03C
Dark pastel purple,#966FD6
#966fd6,#966FD6
Dark pastel red,#C23B22
#c23b22,#C23B22
Dark pink,#E75480
#e75480,#E75480
Dark powder blue,#003399
#003399,#003399
Dark raspberry,#872657
#872657,#872657
Dark red,#8B0000
#8b0000,#8B0000
Dark salmon,#E9967A
#e9967a,#E9967A
Dark scarlet,#560319
#560319,#560319
Dark sea green,#8FBC8F
#8fbc8f,#8FBC8F
Dark sienna,#3C1414
#3c1414,#3C1414
Dark slate blue,#483D8B
#483d8b,#483D8B
Dark slate gray,#2F4F4F
#2f4f4f,#2F4F4F
Dark spring green,#177245
#177245,#177245
Dark tan,#918151
#918151,#918151
Dark tangerine,#FFA812
#ffa812,#FFA812
Dark taupe,#483C32
Dark terra cotta,#CC4E5C
#cc4e5c,#CC4E5C
Dark turquoise,#00CED1
#00ced1,#00CED1
Dark violet,#9400D3
#9400d3,#9400D3
Dartmouth green,#00693E
#00693e,#00693E
Davy grey,#555555
#555555,#555555
Debian red,#D70A53
#d70a53,#D70A53
Deep carmine,#A9203E
#a9203e,#A9203E
Deep carmine pink,#EF3038
#ef3038,#EF3038
Deep carrot orange,#E9692C
#e9692c,#E9692C
Deep cerise,#DA3287
#da3287,#DA3287
Deep champagne,#FAD6A5
Deep chestnut,#B94E48
#b94e48,#B94E48
Deep coffee,#704241
#704241,#704241
Deep fuchsia,#C154C1
#c154c1,#C154C1
Deep jungle green,#004B49
#004b49,#004B49
Deep lilac,#9955BB
#9955bb,#9955BB
Deep magenta,#CC00CC
#cc00cc,#CC00CC
Deep peach,#FFCBA4
#ffcba4,#FFCBA4
Deep pink,#FF1493
#ff1493,#FF1493
Deep saffron,#FF9933
#ff9933,#FF9933
Deep sky blue,#00BFFF
Denim,#1560BD
#1560bd,#1560BD
Desert,#C19A6B
Desert sand,#EDC9AF
#edc9af,#EDC9AF
Dim gray,#696969
#696969,#696969
Dodger blue,#1E90FF
#1e90ff,#1E90FF
Dogwood rose,#D71868
#d71868,#D71868
Dollar bill,#85BB65
#85bb65,#85BB65
Drab,#967117
#967117,#967117
Duke blue,#00009C
#00009c,#00009C
Earth yellow,#E1A95F
#e1a95f,#E1A95F
Ecru,#C2B280
#c2b280,#C2B280
Eggplant,#614051
#614051,#614051
Eggshell,#F0EAD6
#f0ead6,#F0EAD6
Egyptian blue,#1034A6
#1034a6,#1034A6
Electric blue,#7DF9FF
#7df9ff,#7DF9FF
Electric crimson,#FF003F
#ff003f,#FF003F
Electric cyan,#00FFFF
Electric green,#00FF00
#00ff00,#00FF00
Electric indigo,#6F00FF
#6f00ff,#6F00FF
Electric lavender,#F4BBFF
Electric lime,#CCFF00
#ccff00,#CCFF00
Electric purple,#BF00FF
#bf00ff,#BF00FF
Electric ultramarine,#3F00FF
#3f00ff,#3F00FF
Electric violet,#8F00FF
#8f00ff,#8F00FF
Electric yellow,#FFFF00
#ffff00,#FFFF00
Emerald,#50C878
#50c878,#50C878
Eton blue,#96C8A2
#96c8a2,#96C8A2
Fallow,#C19A6B
Falu red,#801818
#801818,#801818
Famous,#FF00FF
#ff00ff,#FF00FF
Fandango,#B53389
#b53389,#B53389
Fashion fuchsia,#F400A1
#f400a1,#F400A1
Fawn,#E5AA70
#e5aa70,#E5AA70
Feldgrau,#4D5D53
#4d5d53,#4D5D53
Fern,#71BC78
#71bc78,#71BC78
Fern green,#4F7942
#4f7942,#4F7942
Ferrari Red,#FF2800
#ff2800,#FF2800
Field drab,#6C541E
#6c541e,#6C541E
Fire engine red,#CE2029
#ce2029,#CE2029
Firebrick,#B22222
#b22222,#B22222
Flame,#E25822
#e25822,#E25822
Flamingo pink,#FC8EAC
#fc8eac,#FC8EAC
Flavescent,#F7E98E
#f7e98e,#F7E98E
Flax,#EEDC82
#eedc82,#EEDC82
Floral white,#FFFAF0
#fffaf0,#FFFAF0
Fluorescent orange,#FFBF00
Fluorescent pink,#FF1493
Fluorescent yellow,#CCFF00
Folly,#FF004F
#ff004f,#FF004F
Forest green,#228B22
#228b22,#228B22
French beige,#A67B5B
French blue,#0072BB
#0072bb,#0072BB
French lilac,#86608E
#86608e,#86608E
French rose,#F64A8A
#f64a8a,#F64A8A
Fuchsia,#FF00FF
Fuchsia pink,#FF77FF
#ff77ff,#FF77FF
Fulvous,#E48400
#e48400,#E48400
Fuzzy Wuzzy,#CC6666
#cc6666,#CC6666
Gainsboro,#DCDCDC
#dcdcdc,#DCDCDC
Gamboge,#E49B0F
#e49b0f,#E49B0F
Ghost white,#F8F8FF
#f8f8ff,#F8F8FF
Ginger,#B06500
#b06500,#B06500
Glaucous,#6082B6
#6082b6,#6082B6
Glitter,#E6E8FA
#e6e8fa,#E6E8FA
Gold,#FFD700
#ffd700,#FFD700
Golden brown,#996515
#996515,#996515
Golden poppy,#FCC200
#fcc200,#FCC200
Golden yellow,#FFDF00
#ffdf00,#FFDF00
Goldenrod,#DAA520
#daa520,#DAA520
Granny Smith Apple,#A8E4A0
#a8e4a0,#A8E4A0
Gray,#808080
#808080,#808080
Gray asparagus,#465945
#465945,#465945
Green,#00FF00
Green Blue,#1164B4
#1164b4,#1164B4
Green yellow,#ADFF2F
#adff2f,#ADFF2F
Grullo,#A99A86
#a99a86,#A99A86
Guppie green,#00FF7F
#00ff7f,#00FF7F
Halayà úbe,#663854
#663854,#663854
Han blue,#446CCF
#446ccf,#446CCF
Han purple,#5218FA
#5218fa,#5218FA
Hansa yellow,#E9D66B
Harlequin,#3FFF00
#3fff00,#3FFF00
Harvard crimson,#C90016
#c90016,#C90016
Harvest Gold,#DA9100
#da9100,#DA9100
Heart Gold,#808000
#808000,#808000
Heliotrope,#DF73FF
#df73ff,#DF73FF
Hollywood cerise,#F400A1
Honeydew,#F0FFF0
#f0fff0,#F0FFF0
Hooker green,#49796B
#49796b,#49796B
Hot magenta,#FF1DCE
#ff1dce,#FF1DCE
Hot pink,#FF69B4
#ff69b4,#FF69B4
Hunter green,#355E3B
#355e3b,#355E3B
Icterine,#FCF75E
#fcf75e,#FCF75E
Inchworm,#B2EC5D
#b2ec5d,#B2EC5D
India green,#138808
#138808,#138808
Indian red,#CD5C5C
Indian yellow,#E3A857
#e3a857,#E3A857
Indigo,#4B0082
#4b0082,#4B0082
International Klein Blue,#002FA7
#002fa7,#002FA7
International orange,#FF4F00
#ff4f00,#FF4F00
Iris,#5A4FCF
#5a4fcf,#5A4FCF
Isabelline,#F4F0EC
#f4f0ec,#F4F0EC
Islamic green,#009000
#009000,#009000
Ivory,#FFFFF0
#fffff0,#FFFFF0
Jade,#00A86B
#00a86b,#00A86B
Jasmine,#F8DE7E
#f8de7e,#F8DE7E
Jasper,#D73B3E
#d73b3e,#D73B3E
Jazzberry jam,#A50B5E
#a50b5e,#A50B5E
Jonquil,#FADA5E
#fada5e,#FADA5E
June bud,#BDDA57
#bdda57,#BDDA57
Jungle green,#29AB87
#29ab87,#29AB87
KU Crimson,#E8000D
#e8000d,#E8000D
Kelly green,#4CBB17
#4cbb17,#4CBB17
Khaki,#C3B091
#c3b091,#C3B091
La Salle Green,#087830
#087830,#087830
Languid lavender,#D6CADD
#d6cadd,#D6CADD
Lapis lazuli,#26619C
#26619c,#26619C
Laser Lemon,#FEFE22
#fefe22,#FEFE22
Laurel green,#A9BA9D
#a9ba9d,#A9BA9D
Lava,#CF1020
#cf1020,#CF1020
Lavender,#E6E6FA
#e6e6fa,#E6E6FA
Lavender blue,#CCCCFF
#ccccff,#CCCCFF
Lavender blush,#FFF0F5
#fff0f5,#FFF0F5
Lavender gray,#C4C3D0
#c4c3d0,#C4C3D0
Lavender indigo,#9457EB
#9457eb,#9457EB
Lavender magenta,#EE82EE
#ee82ee,#EE82EE
Lavender mist,#E6E6FA
Lavender pink,#FBAED2
#fbaed2,#FBAED2
Lavender purple,#967BB6
#967bb6,#967BB6
Lavender rose,#FBA0E3
#fba0e3,#FBA0E3
Lawn green,#7CFC00
#7cfc00,#7CFC00
Lemon,#FFF700
#fff700,#FFF700
Lemon Yellow,#FFF44F
#fff44f,#FFF44F
Lemon chiffon,#FFFACD
#fffacd,#FFFACD
Lemon lime,#BFFF00
#bfff00,#BFFF00
Light Crimson,#F56991
#f56991,#F56991
Light Thulian pink,#E68FAC
#e68fac,#E68FAC
Light apricot,#FDD5B1
#fdd5b1,#FDD5B1
Light blue,#ADD8E6
#add8e6,#ADD8E6
Light brown,#B5651D
#b5651d,#B5651D
Light carmine pink,#E66771
#e66771,#E66771
Light coral,#F08080
#f08080,#F08080
Light cornflower blue,#93CCEA
#93ccea,#93CCEA
Light cyan,#E0FFFF
#e0ffff,#E0FFFF
Light fuchsia pink,#F984EF
#f984ef,#F984EF
Light goldenrod yellow,#FAFAD2
#fafad2,#FAFAD2
Light gray,#D3D3D3
#d3d3d3,#D3D3D3
Light green,#90EE90
#90ee90,#90EE90
Light khaki,#F0E68C
#f0e68c,#F0E68C
Light pastel purple,#B19CD9
#b19cd9,#B19CD9
Light pink,#FFB6C1
#ffb6c1,#FFB6C1
Light salmon,#FFA07A
#ffa07a,#FFA07A
Light salmon pink,#FF9999
#ff9999,#FF9999
Light sea green,#20B2AA
#20b2aa,#20B2AA
Light sky blue,#87CEFA
#87cefa,#87CEFA
Light slate gray,#778899
#778899,#778899
Light taupe,#B38B6D
#b38b6d,#B38B6D
Light yellow,#FFFFED
#ffffed,#FFFFED
Lilac,#C8A2C8
#c8a2c8,#C8A2C8
Lime,#BFFF00
Lime green,#32CD32
#32cd32,#32CD32
Lincoln green,#195905
#195905,#195905
Linen,#FAF0E6
#faf0e6,#FAF0E6
Lion,#C19A6B
Liver,#534B4F
#534b4f,#534B4F
Lust,#E62020
#e62020,#E62020
MSU Green,#18453B
#18453b,#18453B
Macaroni and Cheese,#FFBD88
#ffbd88,#FFBD88
Magenta,#FF00FF
Magic mint,#AAF0D1
#aaf0d1,#AAF0D1
Magnolia,#F8F4FF
#f8f4ff,#F8F4FF
Mahogany,#C04000
#c04000,#C04000
Maize,#FBEC5D
Majorelle Blue,#6050DC
#6050dc,#6050DC
Malachite,#0BDA51
#0bda51,#0BDA51
Manatee,#979AAA
#979aaa,#979AAA
Mango Tango,#FF8243
#ff8243,#FF8243
Mantis,#74C365
#74c365,#74C365
Maroon,#800000
#800000,#800000
Mauve,#E0B0FF
#e0b0ff,#E0B0FF
Mauve taupe,#915F6D
#915f6d,#915F6D
Mauvelous,#EF98AA
#ef98aa,#EF98AA
Maya blue,#73C2FB
#73c2fb,#73C2FB
Meat brown,#E5B73B
#e5b73b,#E5B73B
Medium Persian blue,#0067A5
#0067a5,#0067A5
Medium aquamarine,#66DDAA
#66ddaa,#66DDAA
Medium blue,#0000CD
#0000cd,#0000CD
Medium candy apple red,#E2062C
#e2062c,#E2062C
Medium carmine,#AF4035
#af4035,#AF4035
Medium champagne,#F3E5AB
#f3e5ab,#F3E5AB
Medium electric blue,#035096
#035096,#035096
Medium jungle green,#1C352D
#1c352d,#1C352D
Medium lavender magenta,#DDA0DD
#dda0dd,#DDA0DD
Medium orchid,#BA55D3
#ba55d3,#BA55D3
Medium purple,#9370DB
#9370db,#9370DB
Medium red violet,#BB3385
#bb3385,#BB3385
Medium sea green,#3CB371
#3cb371,#3CB371
Medium slate blue,#7B68EE
#7b68ee,#7B68EE
Medium spring bud,#C9DC87
#c9dc87,#C9DC87
Medium spring green,#00FA9A
#00fa9a,#00FA9A
Medium taupe,#674C47
#674c47,#674C47
Medium teal blue,#0054B4
#0054b4,#0054B4
Medium turquoise,#48D1CC
#48d1cc,#48D1CC
Medium violet red,#C71585
#c71585,#C71585
Melon,#FDBCB4
#fdbcb4,#FDBCB4
Midnight blue,#191970
#191970,#191970
Midnight green,#004953
#004953,#004953
Mikado yellow,#FFC40C
#ffc40c,#FFC40C
Mint,#3EB489
#3eb489,#3EB489
Mint cream,#F5FFFA
#f5fffa,#F5FFFA
Mint green,#98FF98
#98ff98,#98FF98
Misty rose,#FFE4E1
#ffe4e1,#FFE4E1
Moccasin,#FAEBD7
Mode beige,#967117
Moonstone blue,#73A9C2
#73a9c2,#73A9C2
Mordant red 19,#AE0C00
#ae0c00,#AE0C00
Moss green,#ADDFAD
#addfad,#ADDFAD
Mountain Meadow,#30BA8F
#30ba8f,#30BA8F
Mountbatten pink,#997A8D
#997a8d,#997A8D
Mulberry,#C54B8C
#c54b8c,#C54B8C
Munsell,#F2F3F4
Mustard,#FFDB58
#ffdb58,#FFDB58
Myrtle,#21421E
#21421e,#21421E
Nadeshiko pink,#F6ADC6
#f6adc6,#F6ADC6
Napier green,#2A8000
#2a8000,#2A8000
Naples yellow,#FADA5E
Navajo white,#FFDEAD
#ffdead,#FFDEAD
