hex_color,r,g,b,our_munsell,our_hue_num,our_hue_family,our_value,our_chroma,closest_rgb_r,closest_rgb_g,closest_rgb_b,closest_munsell,closest_hue_num,closest_hue_family,closest_value,closest_chroma,hue_diff_circular,value_diff,chroma_diff,rgb_distance
#ffb5ba,255,181,186,5.9R 8.1/5.5,5.9,R,8.1,5.5,255,187,187,6.8R 8.2/5.2,6.8,R,8.2,5.2,0.90,-0.10,0.30,6.1
#ea9399,234,147,153,4.5R 7.0/7.7,4.5,R,7.0,7.7,238,153,153,6.0R 7.1/7.1,6,R,7.1,7.1,1.50,-0.10,0.60,7.2
#e4717a,228,113,122,3.9R 6.0/10.1,3.9,R,6.0,10.1,221,119,119,5.8R 6.0/9.0,5.8,R,6.0,9.0,1.90,0.00,1.10,9.7
#f9ccca,249,204,202,9.4R 8.6/3.5,9.4,R,8.6,3.5,255,204,204,8.5R 8.6/3.7,8.5,R,8.6,3.7,0.90,0.00,-0.20,6.3
#dea5a4,222,165,164,7.6R 7.3/4.7,7.6,R,7.3,4.7,221,170,170,7.9R 7.3/4.0,7.9,R,7.3,4.0,0.30,0.00,0.70,7.9
#c08081,192,128,129,6.6R 5.9/5.4,6.6,R,5.9,5.4,187,136,136,7.4R 6.1/4.1,7.4,R,6.1,4.1,0.80,-0.20,1.30,11.7
#ead8d7,234,216,215,8.1YR 8.8/1.2,8.1,YR,8.8,1.2,238,221,221,9.2YR 8.9/1.0,9.2,YR,8.9,1.0,1.10,-0.10,0.20,8.8
#c4aead,196,174,173,5.8YR 7.3/1.5,5.8,YR,7.3,1.5,204,170,170,0.6YR 7.2/2.5,0.6,YR,7.2,2.5,5.20,0.10,-1.00,9.4
#eae3e1,234,227,225,8Y 9.2/1.1,8,Y,9.2,1.1,238,221,221,9.2YR 8.9/1.0,9.2,YR,8.9,1.0,8.80,0.30,0.10,8.2
#c1b6b3,193,182,179,10YR 7.4/1.1,10,YR,7.4,1.1,187,187,170,5.1GY 7.5/1.8,5.1,GY,7.5,1.8,15.10,-0.10,-0.70,11.9
#be0032,190,0,50,5.2R 3.9/14.7,5.2,R,3.9,14.7,187,0,51,5.0R 3.9/14.3,5,R,3.9,14.3,0.20,0.00,0.40,3.2
#bc3f4a,188,63,74,4.8R 4.5/11.6,4.8,R,4.5,11.6,187,68,68,6.6R 4.5/10.7,6.6,R,4.5,10.7,1.80,0.00,0.90,7.9
#841b2d,132,27,45,5.1R 2.9/10.0,5.1,R,2.9,10.0,136,34,51,4.6R 3.0/8.9,4.6,R,3.0,8.9,0.50,-0.10,1.10,10.0
#5c0923,92,9,35,7.3RP 1.6/6.5,7.3,RP,1.6,6.5,85,17,34,6.7R 1.7/6.4,6.7,R,1.7,6.4,9.40,-0.10,0.10,10.7
#ab4e52,171,78,82,6.1R 4.5/8.3,6.1,R,4.5,8.3,170,85,85,6.2R 4.6/7.4,6.2,R,4.6,7.4,0.10,-0.10,0.90,7.7
#722f37,114,47,55,9.2RP 2.9/5.9,9.2,RP,2.9,5.9,119,51,51,7.2R 3.0/6.1,7.2,R,3.0,6.1,8.00,-0.10,-0.20,7.5
#3f1728,63,23,40,1.7RP 1.3/2.9,1.7,RP,1.3,2.9,68,17,34,5.2R 1.4/4.8,5.2,R,1.4,4.8,13.50,-0.10,-1.90,9.8
