sRGB_to_xyY:1 | vars: rgb_normalized=[0.8666666666666667, 0.9333333333333333, 0.9333333333333333] | action: CALC normalized RGB from 0-255 to 0-1
sRGB_to_xyY:2 | vars: rgb=[0.8666666666666667, 0.9333333333333333, 0.9333333333333333] | action: ENTER converting sRGB to xyY
sRGB_to_xyY:3 | vars:  | action: CALL calling sRGB_to_XYZ
sRGB_to_xyY:4 | vars: xyz=[0.7582594575990703, 0.8269427000458324, 0.928540556898687] | action: CALC XYZ calculated
sRGB_to_xyY:5 | vars:  | action: CALL calling XYZ_to_xyY
sRGB_to_xyY:6 | vars: xyY=[0.3016456112282535, 0.3289687107839026, 0.8269427000458324] | action: RETURN xyY calculated
_xyY_to_munsell_specification:1 | vars: xyY=[0.3016456112282535, 0.3289687107839026, 0.8269427000458324] | action: ENTER internal algorithm entry
hue_to_hue_angle:1 | vars: hue=[5.2525664279057658, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=135.6314160697644 | action: RETURN angle calculated
maximum_chroma_from_renotation:1 | vars: hue=[5.2525664279057658, 9.2774063953977688, 3.0], value=None | action: ENTER maximum chroma lookup
bounding_hues_from_renotation:1 | vars: hue=[5.2525664279057658, 3.0] | action: ENTER bounding hues calculation
bounding_hues_from_renotation:999 | vars: result=[[5.0, 3.0], [7.5, 3.0]] | action: RETURN bounding hues found
maximum_chroma_from_renotation:999 | vars: result=17.822268983521283 | action: RETURN maximum chroma found
xy_from_renotation_ovoid:1 | vars: specification=[5.2525664279057658, 9, 2.0, 3.0], xy_target=None | action: ENTER xy coordinate calculation
bounding_hues_from_renotation:1 | vars: hue=[5.2525664279057658, 3.0] | action: ENTER bounding hues calculation
bounding_hues_from_renotation:999 | vars: result=[[5.0, 3.0], [7.5, 3.0]] | action: RETURN bounding hues found
hue_to_hue_angle:1 | vars: hue=[5.0, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=135.0 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[5.2525664279057658, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=135.6314160697644 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.5, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=141.25 | action: RETURN angle calculated
interpolation_method_from_renotation_ovoid:1 | vars: specification=[5.252566427905766, 9.0, 2.0, 3.0] | action: ENTER interpolation method determination
interpolation_method_from_renotation_ovoid:999 | vars: result=Linear | action: RETURN interpolation method determined
xy_from_renotation_ovoid:999 | vars: result=[0.3013969202865131, 0.33535650965804814] | action: RETURN xy coordinates calculated
hue_angle_to_hue:1 | vars: hue_angle=144.64451093895872 | action: ENTER angle to hue conversion
hue_angle_to_hue:999 | vars: result=[ 8.85780438  3.        ] | action: RETURN hue calculated
xy_from_renotation_ovoid:1 | vars: specification=[8.8578043755834912, 9, 2.0, 3.0], xy_target=None | action: ENTER xy coordinate calculation
bounding_hues_from_renotation:1 | vars: hue=[8.8578043755834912, 3.0] | action: ENTER bounding hues calculation
bounding_hues_from_renotation:999 | vars: result=[[7.5, 3.0], [10.0, 3.0]] | action: RETURN bounding hues found
hue_to_hue_angle:1 | vars: hue=[7.5, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=141.25 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[8.8578043755834912, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=144.64451093895872 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[10.0, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=147.5 | action: RETURN angle calculated
interpolation_method_from_renotation_ovoid:1 | vars: specification=[8.857804375583491, 9.0, 2.0, 3.0] | action: ENTER interpolation method determination
interpolation_method_from_renotation_ovoid:999 | vars: result=Linear | action: RETURN interpolation method determined
xy_from_renotation_ovoid:999 | vars: result=[0.29750513214948654, 0.3306706347492998] | action: RETURN xy coordinates calculated
hue_angle_to_hue:1 | vars: hue_angle=140.53161977049893 | action: ENTER angle to hue conversion
hue_angle_to_hue:999 | vars: result=[ 7.21264791  3.        ] | action: RETURN hue calculated
xy_from_renotation_ovoid:1 | vars: specification=[7.2126479081995765, 9, 2.0, 3.0], xy_target=None | action: ENTER xy coordinate calculation
bounding_hues_from_renotation:1 | vars: hue=[7.2126479081995765, 3.0] | action: ENTER bounding hues calculation
bounding_hues_from_renotation:999 | vars: result=[[5.0, 3.0], [7.5, 3.0]] | action: RETURN bounding hues found
hue_to_hue_angle:1 | vars: hue=[5.0, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=135.0 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.2126479081995765, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=140.53161977049893 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.5, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=141.25 | action: RETURN angle calculated
interpolation_method_from_renotation_ovoid:1 | vars: specification=[7.2126479081995765, 9.0, 2.0, 3.0] | action: ENTER interpolation method determination
interpolation_method_from_renotation_ovoid:999 | vars: result=Linear | action: RETURN interpolation method determined
xy_from_renotation_ovoid:999 | vars: result=[0.2990448225101605, 0.3326907988448486] | action: RETURN xy coordinates calculated
maximum_chroma_from_renotation:1 | vars: hue=[7.2126479081995765, 9.2774063953977688, 3.0], value=None | action: ENTER maximum chroma lookup
bounding_hues_from_renotation:1 | vars: hue=[7.2126479081995765, 3.0] | action: ENTER bounding hues calculation
bounding_hues_from_renotation:999 | vars: result=[[5.0, 3.0], [7.5, 3.0]] | action: RETURN bounding hues found
maximum_chroma_from_renotation:999 | vars: result=17.822268983521283 | action: RETURN maximum chroma found
