4.1RP 1.9/7.8
6.3Y 2.9/5.6
7.2PB 4.5/10.7
9.8P 2.0/9.3
5.8Y 2.9/4.9
7.5PB 4.6/12.8
5.9P 2.1/10.9
4.5Y 3.0/3.8
7.6PB 4.7/14.8
3.3P 2.2/12.5
1.8Y 3.0/2.4
7.7PB 4.8/16.8
1.8P 2.4/14.2
ERROR: "array([ 2.28028867,  3.02140261,  1.16670741,  6.        ])" specification chroma must be normalised to domain [2, 50]!
7.8PB 4.9/18.7
0.7P 2.5/15.9
ERROR: "array([ 9.57820629,  3.07609466,  1.72856496,  9.        ])" specification chroma must be normalised to domain [2, 50]!
5.9GY 4.5/8.8
9.4PB 2.9/19.7
3.2P 3.1/3.6
6.1GY 4.5/8.4
8.9PB 3.1/21.5
1.0P 3.2/5.8
6.4GY 4.5/7.6
8.6PB 3.3/23.1
0.1P 3.3/8.0
7.0GY 4.5/6.7
8.3PB 3.4/24.8
9.6PB 3.4/10.2
8.1GY 4.5/5.6
8.1PB 3.6/26.6
9.2PB 3.5/12.5
0.1G 4.6/4.6
5.1YR 2.0/6.4
8.9PB 3.7/14.7
3.4G 4.6/3.6
3.5YR 2.0/5.7
8.6PB 3.8/16.9
3.3BG 4.7/2.9
9.5R 2.1/5.0
8.4PB 3.9/18.9
4.0B 4.7/3.2
2.1R 2.1/5.1
8.3PB 4.1/20.8
0.6PB 4.8/4.8
4.3RP 2.2/6.0
8.1PB 4.2/22.7
3.7PB 4.9/6.7
9.6P 2.3/7.2
1.3GY 3.4/6.3
5.4PB 4.9/8.8
5.5P 2.4/8.8
1.4GY 3.4/5.6
6.2PB 5.0/11.0
3.0P 2.5/10.6
1.5GY 3.5/4.6
6.7PB 5.1/12.9
1.5P 2.6/12.6
1.8GY 3.5/3.3
7.1PB 5.2/14.8
0.6P 2.7/14.5
2.5GY 3.5/2.0
7.3PB 5.3/16.6
9.9PB 2.9/16.5
ERROR: "array([ 7.14808792,  3.55708314,  0.54045748,  4.        ])" specification chroma must be normalised to domain [2, 50]!
9.3PB 3.1/18.5
ERROR: "array([  6.28027364,   3.61244809,   1.48453395,  10.        ])" specification chroma must be normalised to domain [2, 50]!
6.9GY 5.0/10.3
0.5B 6.4/5.9
0.8G 7.8/13.4
7.1GY 5.0/9.9
5.1B 6.5/6.6
1.4G 7.8/12.5
7.4GY 5.0/9.3
8.9B 6.5/8.0
2.2G 7.9/11.5
7.9GY 5.1/8.5
1.4PB 6.6/9.5
3.4G 7.9/10.7
8.8GY 5.1/7.5
3.2PB 6.7/11.0
4.9G 7.9/9.8
0.2G 5.1/6.5
8.5GY 6.7/14.2
8.3G 8.0/9.2
1.9G 5.1/5.4
8.6GY 6.7/13.9
2.4BG 8.0/8.6
6.3G 5.2/4.6
8.8GY 6.7/13.5
6.1BG 8.1/8.1
4.2BG 5.2/4.0
9.1GY 6.7/12.9
10.0BG 8.1/7.9
2.1B 5.3/4.2
9.6GY 6.7/12.2
3.4B 8.2/8.1
8.1B 5.3/5.4
0.2G 6.7/11.3
9.2GY 8.3/17.5
1.7PB 5.4/7.1
0.9G 6.7/10.4
9.3GY 8.3/17.3
3.9PB 5.5/9.0
1.9G 6.8/9.5
9.4GY 8.3/17.0
