1.2P 3.9/5.9
6.2R 2.0/8.9
9.1PB 3.7/23.9
0.3P 4.0/8.3
1.7R 2.0/9.1
8.8PB 3.9/25.7
9.9PB 4.1/10.5
6.8RP 2.1/9.7
6.7YR 2.7/6.7
9.5PB 4.2/12.6
2.6RP 2.2/10.6
5.5YR 2.7/6.0
9.2PB 4.3/14.7
9.7P 2.3/11.7
3.3YR 2.7/5.2
9.0PB 4.4/16.8
6.6P 2.4/13.2
8.1R 2.8/4.4
8.8PB 4.5/18.7
4.2P 2.5/14.8
9.8RP 2.8/4.6
8.6PB 4.7/20.5
2.6P 2.7/16.5
3.3RP 2.9/5.5
1.3GY 4.1/7.2
ERROR: "[ 10.   2.  16.   1.]" specification does not exists in "Munsell Renotation System" data!
9.1P 2.9/6.8
1.4GY 4.1/6.6
ERROR: "[  7.5   3.   18.    1. ]" specification does not exists in "Munsell Renotation System" data!
5.8P 3.0/8.6
1.5GY 4.1/5.6
0.0P 3.2/21.9
3.5P 3.1/10.5
1.7GY 4.1/4.5
9.5PB 3.4/23.5
2.0P 3.2/12.6
2.0GY 4.2/3.2
9.1PB 3.5/25.1
1.1P 3.4/14.5
ERROR: "array([ 2.80236675,  4.19364392,  1.93866179,  4.        ])" specification chroma must be normalised to domain [2, 50]!
8.8PB 3.7/26.9
0.4P 3.5/16.6
ERROR: "array([ 7.3708995 ,  4.23763818,  0.5871005 ,  4.        ])" specification chroma must be normalised to domain [2, 50]!
2.0YR 2.1/8.8
9.8PB 3.6/18.6
ERROR: "array([  5.84132908,   4.29079244,   1.50200009,  10.        ])" specification chroma must be normalised to domain [2, 50]!
0.4YR 2.1/8.4
9.4PB 3.8/20.5
7.6PB 4.4/3.7
6.9R 2.1/8.0
9.1PB 3.9/22.7
8.1PB 4.4/5.9
2.3R 2.2/8.0
8.8PB 4.1/24.4
8.3PB 4.5/8.2
7.1RP 2.2/8.5
1.6Y 3.1/6.4
8.4PB 4.6/10.4
2.6RP 2.3/9.4
0.9Y 3.1/5.7
8.4PB 4.7/12.6
9.6P 2.4/10.7
9.4YR 3.2/4.7
8.4PB 4.8/14.7
6.4P 2.5/12.2
6.2YR 3.2/3.5
8.4PB 4.9/16.7
4.1P 2.6/13.8
8.5R 3.2/2.6
8.4PB 5.0/18.7
2.5P 2.8/15.7
5.6RP 3.3/3.0
4.1GY 4.6/8.2
ERROR: "[ 10.   2.  16.   1.]" specification does not exists in "Munsell Renotation System" data!
9.1P 3.3/4.2
4.3GY 4.6/7.7
0.6P 3.1/19.5
5.1P 3.4/6.1
4.6GY 4.6/7.0
9.5PB 3.4/22.9
2.8P 3.5/8.2
5.1GY 4.6/6.0
9.1PB 3.6/24.7
1.5P 3.6/10.3
5.7GY 4.7/4.9
8.8PB 3.8/26.4
0.7P 3.7/12.6
7.0GY 4.7/3.8
3.5YR 2.3/7.6
0.1P 3.8/14.8
10.0GY 4.7/2.6
2.3YR 2.3/7.1
9.6PB 3.9/17.0
ERROR: "array([ 0.43826312,  4.77378443,  1.76347038,  2.        ])" specification chroma must be normalised to domain [2, 50]!
9.2R 2.4/6.5
9.3PB 4.1/18.9
7.6B 4.8/2.3
3.8R 2.4/6.4
9.0PB 4.2/20.6
3.7PB 4.9/4.2
7.8RP 2.5/6.8
8.7PB 4.4/22.6
5.8PB 5.0/6.3
2.8RP 2.5/7.7
7.0Y 3.6/6.3
6.7PB 5.0/8.5
9.4P 2.6/9.0
6.7Y 3.6/5.7
7.2PB 5.1/10.7
6.2P 2.7/10.6
6.2Y 3.6/4.7
7.5PB 5.2/12.6
3.9P 2.8/12.5
4.9Y 3.6/3.5
7.7PB 5.3/14.5
2.3P 3.0/14.4
2.1Y 3.7/2.2
7.9PB 5.4/16.3
1.3P 3.1/16.3
ERROR: "array([ 3.13459861,  3.71679638,  1.11264608,  6.        ])" specification chroma must be normalised to domain [2, 50]!
0.5P 3.3/18.3
ERROR: "array([ 9.59517852,  3.76887356,  1.72059614,  9.        ])" specification chroma must be normalised to domain [2, 50]!
5.7GY 5.1/9.6
1.1B 6.5/5.1
0.4G 7.9/12.8
5.8GY 5.1/9.2
6.4B 6.6/6.0
1.0G 7.9/11.9
6.1GY 5.1/8.6
0.0PB 6.6/7.5
1.8G 7.9/11.0
6.5GY 5.2/7.7
2.3PB 6.7/9.1
2.9G 8.0/10.1
7.2GY 5.2/6.7
4.1PB 6.8/10.7
4.5G 8.0/9.2
8.3GY 5.2/5.6
7.9GY 6.7/13.5
7.6G 8.0/8.5
0.2G 5.2/4.6
8.0GY 6.7/13.3
2.0BG 8.1/7.9
3.5G 5.3/3.5
8.2GY 6.7/12.9
6.0BG 8.1/7.4
3.3BG 5.3/2.9
8.5GY 6.8/12.3
0.2B 8.2/7.3
3.8B 5.4/3.3
8.9GY 6.8/11.6
3.8B 8.2/7.6
0.4PB 5.4/4.8
9.6GY 6.8/10.7
8.9GY 8.4/17.0
3.5PB 5.5/6.6
0.3G 6.8/9.8
8.9GY 8.4/16.8
5.3PB 5.6/8.7
1.2G 6.8/8.8
9.1GY 8.4/16.5
6.1PB 5.7/10.7
2.7G 6.9/7.9
9.2GY 8.4/16.0
6.7PB 5.8/12.6
5.0G 6.9/7.1
9.5GY 8.4/15.4
7.1PB 5.9/14.4
10.0G 6.9/6.4
9.9GY 8.4/14.7
6.7GY 5.7/10.9
5.3BG 7.0/6.1
0.3G 8.4/13.9
6.8GY 5.7/10.6
0.6B 7.1/6.1
0.9G 8.4/13.1
7.0GY 5.7/10.0
5.0B 7.1/6.7
1.5G 8.5/12.2
7.4GY 5.7/9.2
8.8B 7.2/7.9
2.4G 8.5/11.2
8.0GY 5.7/8.3
1.2PB 7.2/9.2
3.6G 8.5/10.4
8.9GY 5.7/7.3
8.3GY 7.3/14.8
5.2G 8.5/9.5
0.3G 5.8/6.3
8.4GY 7.3/14.6
8.6G 8.6/8.8
2.1G 5.8/5.3
8.6GY 7.3/14.2
2.6BG 8.6/8.2
6.4G 5.8/4.4
8.8GY 7.3/13.7
6.3BG 8.7/7.8
4.3BG 5.9/3.9
9.2GY 7.3/13.0
0.2B 8.7/7.6
