2.2B 5.9/4.2
9.7GY 7.3/12.2
9.1GY 8.9/17.8
8.0B 6.0/5.4
0.3G 7.3/11.3
9.1GY 8.9/17.7
1.5PB 6.1/7.1
1.1G 7.4/10.3
9.2GY 8.9/17.4
3.7PB 6.1/9.0
2.1G 7.4/9.4
9.4GY 8.9/17.0
5.3PB 6.2/10.8
3.7G 7.4/8.6
9.6GY 8.9/16.4
6.0PB 6.3/12.5
6.4G 7.5/7.8
9.9GY 8.9/15.7
7.4GY 6.2/12.2
1.1BG 7.5/7.2
0.3G 8.9/14.9
7.5GY 6.2/11.9
5.7BG 7.6/6.8
0.7G 9.0/14.1
7.7GY 6.2/11.5
0.3B 7.6/6.7
1.3G 9.0/13.3
8.0GY 6.2/10.8
4.2B 7.7/7.2
2.0G 9.0/12.4
8.6GY 6.2/10.0
7.7B 7.7/8.0
3.0G 9.0/11.8
9.3GY 6.3/9.0
8.7GY 7.8/16.0
4.1G 9.1/11.3
0.3G 6.3/8.0
8.7GY 7.8/15.8
6.0G 9.1/10.8
1.5G 6.3/7.0
8.8GY 7.8/15.5
9.2G 9.1/10.6
3.8G 6.3/6.2
9.1GY 7.8/15.0
2.9BG 9.2/10.5
8.5G 6.4/5.4
9.4GY 7.8/14.3
6.3BG 9.2/10.6
4.8BG 6.4/5.0
9.8GY 7.9/13.5
0.9YR 2.3/10.6
1.9P 3.5/18.1
5.3RP 3.9/3.1
9.6R 2.3/10.2
1.2P 3.6/19.9
8.9P 4.0/4.4
6.7R 2.4/9.8
0.5P 3.8/22.1
5.4P 4.1/6.4
3.0R 2.4/9.7
0.1P 3.9/24.1
3.1P 4.2/8.4
8.9RP 2.5/10.1
9.7PB 4.1/25.6
1.8P 4.2/10.6
4.9RP 2.5/10.8
4.3YR 3.0/8.3
1.0P 4.3/12.6
1.8RP 2.6/11.7
3.3YR 3.0/7.6
0.4P 4.4/14.7
9.4P 2.7/12.9
1.4YR 3.0/6.8
10.0PB 4.6/16.7
6.8P 2.8/14.5
7.2R 3.0/6.1
9.6PB 4.7/18.7
4.9P 3.0/16.3
1.3R 3.1/6.1
9.4PB 4.8/20.6
3.3P 3.1/18.0
6.0RP 3.1/6.6
7.5Y 4.3/7.2
2.1P 3.2/19.8
2.1RP 3.2/7.6
7.4Y 4.3/6.6
ERROR: "[  7.5   3.   18.    1. ]" specification does not exists in "Munsell Renotation System" data!
9.0P 3.3/9.0
7.0Y 4.3/5.7
0.6P 3.6/23.3
6.4P 3.4/10.8
6.4Y 4.3/4.6
0.1P 3.7/25.2
4.4P 3.5/12.7
5.1Y 4.3/3.3
9.7PB 3.9/26.9
2.8P 3.6/14.6
2.5Y 4.3/2.1
1.3YR 2.4/10.0
1.8P 3.7/16.6
ERROR: "array([ 3.92020829,  4.39157398,  1.10813   ,  6.        ])" specification chroma must be normalised to domain [2, 50]!
0.2YR 2.5/9.5
1.0P 3.8/18.7
ERROR: "array([ 9.64913622,  4.44215109,  1.78085207,  9.        ])" specification chroma must be normalised to domain [2, 50]!
7.3R 2.5/9.0
0.5P 4.0/20.7
3.5P 4.5/3.6
3.5R 2.5/8.9
0.0P 4.1/22.8
1.4P 4.6/5.8
9.1RP 2.6/9.2
9.6PB 4.3/24.3
0.5P 4.6/8.0
5.0RP 2.6/9.9
8.2YR 3.4/7.5
0.0P 4.7/10.3
1.8RP 2.7/10.9
7.5YR 3.4/6.8
9.7PB 4.8/12.5
9.3P 2.8/12.1
5.9YR 3.4/5.8
9.5PB 4.9/14.6
6.8P 2.9/13.8
3.0YR 3.4/4.8
9.3PB 5.0/16.7
4.8P 3.1/15.6
7.3R 3.4/4.1
9.1PB 5.2/18.5
3.2P 3.2/17.3
8.8RP 3.5/4.4
1.4GY 4.7/7.8
2.0P 3.3/19.1
2.9RP 3.5/5.3
1.5GY 4.8/7.4
ERROR: "[  7.5   3.   18.    1. ]" specification does not exists in "Munsell Renotation System" data!
8.9P 3.6/6.8
1.5GY 4.8/6.6
0.6P 3.6/22.9
6.0P 3.7/8.7
1.6GY 4.8/5.6
0.1P 3.8/24.8
3.9P 3.8/10.7
1.9GY 4.8/4.4
9.7PB 4.0/26.5
2.4P 3.9/12.8
2.2GY 4.8/3.2
2.3YR 2.7/9.0
1.5P 4.0/15.0
ERROR: "array([ 3.22315908,  4.86082341,  1.93426605,  4.        ])" specification chroma must be normalised to domain [2, 50]!
1.2YR 2.7/8.5
0.8P 4.1/17.0
ERROR: "array([ 7.6352433 ,  4.9047427 ,  0.64142256,  4.        ])" specification chroma must be normalised to domain [2, 50]!
8.8R 2.7/7.9
0.3P 4.2/18.8
ERROR: "array([  5.41415634,   4.95656017,   1.5166339 ,  10.        ])" specification chroma must be normalised to domain [2, 50]!
4.4R 2.7/7.6
9.9PB 4.4/20.7
7.7PB 5.0/3.8
9.6RP 2.8/7.8
9.5PB 4.5/22.5
8.2PB 5.1/5.9
5.2RP 2.8/8.5
2.8Y 3.8/7.1
8.4PB 5.2/8.2
1.8RP 2.9/9.5
2.4Y 3.8/6.5
8.5PB 5.2/10.4
9.2P 3.0/10.9
1.5Y 3.8/5.5
8.5PB 5.3/12.4
6.6P 3.1/12.5
9.8YR 3.8/4.3
8.6PB 5.4/14.3
4.6P 3.2/14.3
6.5YR 3.9/3.2
8.6PB 5.5/16.1
3.1P 3.3/16.1
8.8R 3.9/2.6
0.9YR 2.3/10.6
1.9P 3.5/18.1
5.3RP 3.9/3.1
9.6R 2.3/10.2
1.2P 3.6/19.9
8.9P 4.0/4.4
6.7R 2.4/9.8
0.5P 3.8/22.1
5.4P 4.1/6.4
3.0R 2.4/9.7
0.1P 3.9/24.1
3.1P 4.2/8.4
8.9RP 2.5/10.1
9.7PB 4.1/25.6
1.8P 4.2/10.6
4.9RP 2.5/10.8
4.3YR 3.0/8.3
1.0P 4.3/12.6
1.8RP 2.6/11.7
3.3YR 3.0/7.6
0.4P 4.4/14.7
9.4P 2.7/12.9
