1.4YR 3.0/6.8
10.0PB 4.6/16.7
6.8P 2.8/14.5
7.2R 3.0/6.1
9.6PB 4.7/18.7
4.9P 3.0/16.3
1.3R 3.1/6.1
9.4PB 4.8/20.6
3.3P 3.1/18.0
6.0RP 3.1/6.6
7.5Y 4.3/7.2
2.1P 3.2/19.8
2.1RP 3.2/7.6
7.4Y 4.3/6.6
ERROR: "[  7.5   3.   18.    1. ]" specification does not exists in "Munsell Renotation System" data!
9.0P 3.3/9.0
7.0Y 4.3/5.7
0.6P 3.6/23.3
6.4P 3.4/10.8
6.4Y 4.3/4.6
0.1P 3.7/25.2
4.4P 3.5/12.7
5.1Y 4.3/3.3
9.7PB 3.9/26.9
2.8P 3.6/14.6
2.5Y 4.3/2.1
1.3YR 2.4/10.0
1.8P 3.7/16.6
ERROR: "array([ 3.92020829,  4.39157398,  1.10813   ,  6.        ])" specification chroma must be normalised to domain [2, 50]!
0.2YR 2.5/9.5
1.0P 3.8/18.7
ERROR: "array([ 9.64913622,  4.44215109,  1.78085207,  9.        ])" specification chroma must be normalised to domain [2, 50]!
7.3R 2.5/9.0
0.5P 4.0/20.7
3.5P 4.5/3.6
3.5R 2.5/8.9
0.0P 4.1/22.8
1.4P 4.6/5.8
9.1RP 2.6/9.2
9.6PB 4.3/24.3
0.5P 4.6/8.0
5.0RP 2.6/9.9
8.2YR 3.4/7.5
0.0P 4.7/10.3
1.8RP 2.7/10.9
7.5YR 3.4/6.8
9.7PB 4.8/12.5
9.3P 2.8/12.1
5.9YR 3.4/5.8
9.5PB 4.9/14.6
6.8P 2.9/13.8
3.0YR 3.4/4.8
9.3PB 5.0/16.7
4.8P 3.1/15.6
7.3R 3.4/4.1
9.1PB 5.2/18.5
3.2P 3.2/17.3
8.8RP 3.5/4.4
1.4GY 4.7/7.8
2.0P 3.3/19.1
2.9RP 3.5/5.3
1.5GY 4.8/7.4
ERROR: "[  7.5   3.   18.    1. ]" specification does not exists in "Munsell Renotation System" data!
8.9P 3.6/6.8
1.5GY 4.8/6.6
0.6P 3.6/22.9
6.0P 3.7/8.7
1.6GY 4.8/5.6
0.1P 3.8/24.8
3.9P 3.8/10.7
1.9GY 4.8/4.4
9.7PB 4.0/26.5
2.4P 3.9/12.8
2.2GY 4.8/3.2
2.3YR 2.7/9.0
1.5P 4.0/15.0
ERROR: "array([ 3.22315908,  4.86082341,  1.93426605,  4.        ])" specification chroma must be normalised to domain [2, 50]!
1.2YR 2.7/8.5
0.8P 4.1/17.0
ERROR: "array([ 7.6352433 ,  4.9047427 ,  0.64142256,  4.        ])" specification chroma must be normalised to domain [2, 50]!
8.8R 2.7/7.9
0.3P 4.2/18.8
ERROR: "array([  5.41415634,   4.95656017,   1.5166339 ,  10.        ])" specification chroma must be normalised to domain [2, 50]!
4.4R 2.7/7.6
9.9PB 4.4/20.7
7.7PB 5.0/3.8
9.6RP 2.8/7.8
9.5PB 4.5/22.5
8.2PB 5.1/5.9
5.2RP 2.8/8.5
2.8Y 3.8/7.1
8.4PB 5.2/8.2
1.8RP 2.9/9.5
2.4Y 3.8/6.5
8.5PB 5.2/10.4
9.2P 3.0/10.9
1.5Y 3.8/5.5
8.5PB 5.3/12.4
6.6P 3.1/12.5
9.8YR 3.8/4.3
8.6PB 5.4/14.3
4.6P 3.2/14.3
6.5YR 3.9/3.2
8.6PB 5.5/16.1
3.1P 3.3/16.1
8.8R 3.9/2.6
3.9GY 5.2/9.0
2.0B 6.6/4.1
9.8GY 7.9/12.0
4.1GY 5.3/8.6
7.9B 6.6/5.4
0.5G 8.0/11.2
4.3GY 5.3/7.9
1.4PB 6.7/7.0
1.3G 8.0/10.3
4.7GY 5.3/7.0
3.6PB 6.8/8.7
2.3G 8.0/9.4
5.2GY 5.3/6.0
5.2PB 6.8/10.4
3.9G 8.1/8.4
5.9GY 5.3/4.9
7.2GY 6.8/12.9
6.7G 8.1/7.6
7.1GY 5.3/3.7
7.3GY 6.8/12.6
1.3BG 8.1/7.0
10.0GY 5.4/2.6
7.4GY 6.8/12.2
5.9BG 8.2/6.7
ERROR: "array([ 9.88366667,  5.43355733,  1.73263441,  3.        ])" specification chroma must be normalised to domain [2, 50]!
7.7GY 6.8/11.6
0.4B 8.2/6.6
7.2B 5.5/2.3
8.1GY 6.8/10.9
4.2B 8.3/7.0
3.5PB 5.5/4.2
8.6GY 6.9/10.0
8.5GY 8.4/16.3
5.7PB 5.6/6.2
9.4GY 6.9/9.0
8.6GY 8.4/16.2
6.6PB 5.7/8.3
0.4G 6.9/8.1
8.7GY 8.4/15.9
7.2PB 5.8/10.5
1.7G 6.9/7.0
8.8GY 8.4/15.4
7.5PB 5.9/12.3
3.9G 7.0/6.3
9.1GY 8.4/14.8
7.8PB 6.0/14.2
8.7G 7.0/5.5
9.4GY 8.4/14.1
5.5GY 5.8/10.2
5.0BG 7.1/5.1
9.9GY 8.5/13.2
5.6GY 5.8/9.9
1.1B 7.1/5.1
0.4G 8.5/12.4
5.8GY 5.8/9.3
6.3B 7.2/6.0
1.1G 8.5/11.5
6.1GY 5.8/8.6
9.9B 7.3/7.4
1.9G 8.5/10.6
6.6GY 5.8/7.6
2.2PB 7.3/8.8
3.1G 8.6/9.7
7.3GY 5.8/6.6
7.8GY 7.4/14.0
4.6G 8.6/8.8
8.4GY 5.9/5.5
7.8GY 7.4/13.9
7.8G 8.6/8.1
0.3G 5.9/4.4
8.0GY 7.4/13.5
2.1BG 8.7/7.5
3.6G 5.9/3.4
8.2GY 7.4/13.0
6.2BG 8.7/7.1
3.2BG 6.0/2.8
8.5GY 7.4/12.3
0.3B 8.8/7.0
3.7B 6.0/3.3
9.0GY 7.4/11.5
8.8GY 8.9/17.3
0.3PB 6.1/4.8
9.7GY 7.4/10.6
8.8GY 8.9/17.1
3.4PB 6.2/6.6
0.5G 7.4/9.6
8.9GY 8.9/16.8
5.2PB 6.2/8.5
1.4G 7.5/8.7
9.0GY 9.0/16.4
6.1PB 6.3/10.5
2.9G 7.5/7.8
9.3GY 9.0/15.8
6.7PB 6.4/12.1
