7.3R 3.6/12.7
4.6P 4.6/20.5
4.6RP 5.1/6.8
5.0R 3.6/12.4
3.5P 4.7/22.2
1.3RP 5.1/7.9
2.5R 3.6/12.3
2.6P 4.9/23.9
8.5P 5.2/9.5
9.5RP 3.7/12.5
2.3YR 4.1/11.5
6.6P 5.3/11.2
6.8RP 3.7/13.2
1.8YR 4.2/11.0
5.2P 5.3/13.1
4.3RP 3.8/14.1
0.9YR 4.2/10.3
3.9P 5.4/14.9
2.4RP 3.8/15.2
9.3R 4.2/9.6
2.8P 5.5/16.7
0.6RP 3.9/16.5
6.5R 4.2/9.2
2.1P 5.6/18.5
8.8P 4.0/17.8
3.0R 4.2/9.1
1.5Y 5.3/9.4
7.2P 4.1/19.2
9.0RP 4.3/9.5
1.3Y 5.3/8.9
5.9P 4.2/20.8
5.4RP 4.3/10.2
0.8Y 5.3/8.1
4.8P 4.4/22.5
2.9RP 4.4/11.1
0.1Y 5.3/7.2
3.6P 4.5/24.0
0.7RP 4.5/12.4
8.8YR 5.3/6.2
ERROR: "[ 10.   4.  22.   1.]" specification does not exists in "Munsell Renotation System" data!
8.7P 4.6/13.8
6.8YR 5.3/5.3
0.1YR 3.7/12.9
7.0P 4.6/15.5
3.2YR 5.4/4.5
9.4R 3.7/12.6
5.6P 4.7/17.2
7.4R 5.4/4.1
8.0R 3.7/12.1
4.5P 4.8/19.1
8.1RP 5.5/4.6
5.8R 3.7/11.8
3.4P 5.0/20.9
2.4RP 5.5/5.5
3.1R 3.7/11.6
2.5P 5.1/22.5
8.6P 5.6/7.0
0.0R 3.8/11.8
4.9YR 4.5/10.6
6.2P 5.6/8.8
7.1RP 3.8/12.4
4.4YR 4.5/10.1
4.7P 5.7/10.7
4.5RP 3.9/13.3
3.6YR 4.5/9.3
3.3P 5.8/12.6
2.5RP 4.0/14.5
2.1YR 4.5/8.4
2.3P 5.9/14.5
0.5RP 4.0/15.8
9.8R 4.5/7.7
1.7P 6.0/16.2
8.8P 4.1/17.0
6.2R 4.6/7.4
5.0Y 5.7/9.2
ERROR: "array([  3.66840565,   6.92117995,   1.38813227,  10.        ])" specification chroma must be normalised to domain [2, 50]!
7.2GY 8.2/9.9
4.9Y 5.7/8.7
7.4PB 7.0/3.6
7.7GY 8.2/8.9
4.6Y 5.7/8.0
8.2PB 7.0/5.7
8.4GY 8.2/7.9
4.2Y 5.7/7.2
8.5PB 7.1/7.6
9.3GY 8.3/6.8
3.4Y 5.8/6.1
8.7PB 7.2/9.4
0.7G 8.3/5.8
2.3Y 5.8/5.1
3.7GY 7.1/11.1
2.5G 8.3/4.9
0.4Y 5.8/4.1
3.7GY 7.1/10.9
6.6G 8.4/4.2
7.3YR 5.8/3.1
3.8GY 7.2/10.4
4.5BG 8.4/3.7
9.6R 5.9/2.5
4.0GY 7.2/9.7
1.8B 8.5/3.9
5.5RP 5.9/3.2
4.2GY 7.2/9.0
7.7B 8.5/4.8
