munsell,hue,value,chroma,code,xy_ovoid_x,xy_ovoid_y,xyY_full_x,xyY_full_y,xyY_Y,interpolation
2.5GY 9/6,2.5,9.0,6.0,4.0,0.367,0.4178,0.367,0.4178,0.7669558611,Radial
5.0GY 9/8,5.0,9.0,8.0,4.0,0.3698,0.4497,0.3698,0.4497,0.7669558611,Radial
7.5GY 9/6,7.5,9.0,6.0,4.0,0.3351,0.4111,0.3351,0.4111,0.7669558611,Radial
10.0GY 9/8,10.0,9.0,8.0,4.0,0.3157,0.4259,0.3157,0.4259,0.7669558611,Radial
8.548GY 9/6,8.548,9.0,6.0,4.0,0.326241281469,0.407310656986,0.326241281469,0.407310656986,0.7669558611,Radial
8.548GY 9/8,8.548,9.0,8.0,4.0,0.32981167391,0.435640748069,0.32981167391,0.435640748069,0.7669558611,Radial
2.5GY 9/2,2.5,9.0,2.0,4.0,0.3321,0.3539,0.3321,0.3539,0.7669558611,Radial
7.5GY 9/20,7.5,9.0,20.0,4.0,0.361,0.614,0.361,0.614,0.7669558611,Radial
5.0R 5/10,5.0,5.0,10.0,7.0,0.4747,0.3227,0.4747,0.3227,0.1927184375,Radial
7.5B 7/8,7.5,7.0,8.0,1.0,0.2225,0.2631,0.2225,0.2631,0.4198539373,Radial
2.5P 4/12,2.5,4.0,12.0,9.0,0.2559,0.173,0.2559,0.173,0.1170075136,Linear
