r,g,b,xyz_x,xyz_y,xyz_z,xyy_x,xyy_y,xyy_Y,munsell_notation,hue_number,hue_family,value,chroma,conversion_success
255,181,186,0.7978847058823529,0.772915294117647,0.7972145098039215,0.3369424902503744,0.3263980397576393,0.772915294117647,0.0YR 9.0/2.6,0.0,YR,9.0,2.6,SUCCESS
234,147,153,0.6928835294117646,0.6507035294117647,0.6567258823529412,0.3463875652397919,0.32530086468823116,0.6507035294117647,7.2R 8.4/3.4,7.2,R,8.4,3.4,SUCCESS
228,113,122,0.613556862745098,0.5415639215686274,0.5248274509803922,0.3652236716910979,0.32236941007519376,0.5415639215686274,4.4R 7.8/5.2,4.4,R,7.8,5.2,SUCCESS
249,204,202,,,,,,,FAILED,,,,,FAILED
222,165,164,0.7065050980392157,0.6942980392156863,0.7052337254901961,0.3354666342916367,0.3296704115191549,0.6942980392156863,3.2YR 8.6/2.1,3.2,YR,8.6,2.1,SUCCESS
192,128,129,0.5813258823529411,0.5556023529411764,0.5552066666666666,0.34354582585544563,0.3283440063185061,0.5556023529411764,0.0YR 7.9/2.8,0.0,YR,7.9,2.8,SUCCESS
234,216,215,,,,,,,FAILED,,,,,FAILED
196,174,173,,,,,,,FAILED,,,,,FAILED
234,227,225,,,,,,,FAILED,,,,,FAILED
193,182,179,,,,,,,FAILED,,,,,FAILED
190,0,50,0.3426705882352941,0.17256470588235295,0.20075294117647058,0.4785980709508865,0.24101611922640861,0.17256470588235295,7.6RP 4.8/17.3,7.6,RP,4.8,17.3,SUCCESS
188,63,74,0.44477254901960783,0.35438901960784314,0.31950980392156864,0.39758999821917596,0.3167945728335995,0.35438901960784314,2.8R 6.5/7.5,2.8,R,6.5,7.5,SUCCESS
132,27,45,0.2831941176470588,0.19852,0.19034705882352942,0.42138145687017287,0.2953897754406111,0.19852,0.0R 5.1/9.0,0.0,R,5.1,9.0,SUCCESS
92,9,35,0.18618313725490196,0.11185490196078432,0.14163098039215688,0.4234620338293689,0.25440705842897865,0.11185490196078432,6.7RP 3.9/10.6,6.7,RP,3.9,10.6,SUCCESS
171,78,82,0.44397725490196077,0.3845513725490196,0.3550545098039216,0.37511285935661626,0.3249044029479112,0.3845513725490196,5.4R 6.7/5.2,5.4,R,6.7,5.2,SUCCESS
114,47,55,0.2892090196078432,0.24243843137254903,0.23560823529411767,0.37693955845687865,0.3159812767888813,0.24243843137254903,2.8R 5.5/5.0,2.8,R,5.5,5.0,SUCCESS
63,23,40,0.16245490196078433,0.12835843137254901,0.1646176470588235,0.35670586533419324,0.281839481499532,0.12835843137254901,5.0RP 4.2/5.0,5.0,RP,4.2,5.0,SUCCESS
173,136,132,,,,,,,FAILED,,,,,FAILED
144,93,93,0.42913294117647055,0.40722588235294116,0.4010247058823529,0.34680673451381283,0.32910239442618966,0.40722588235294116,0.1YR 6.9/2.6,0.1,YR,6.9,2.6,SUCCESS
84,61,63,,,,,,,FAILED,,,,,FAILED
46,29,33,,,,,,,FAILED,,,,,FAILED
143,129,127,,,,,,,FAILED,,,,,FAILED
92,80,79,,,,,,,FAILED,,,,,FAILED
40,32,34,,,,,,,FAILED,,,,,FAILED
255,183,165,0.7858247058823529,0.7725788235294118,0.7198729411764706,0.3449206959853553,0.33910670346779176,0.7725788235294118,5.6YR 9.0/2.6,5.6,YR,9.0,2.6,SUCCESS
