xyY_to_munsell_specification:1 | vars: xyY_input=[0.3016555411, 0.3289901051, 0.8269331673] | action: ENTER main conversion function
xyY_to_munsell_specification:2 | vars: xyY=[0.3016555411, 0.3289901051, 0.8269331673] | action: CALL calling original xyY_to_munsell_specification
_xyY_to_munsell_specification:1 | vars: xyY=[0.3016555411, 0.3289901051, 0.8269331673] | action: ENTER internal algorithm entry
hue_to_hue_angle:1 | vars: hue=[5.2417998370553125, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=135.6044995926383 | action: RETURN angle calculated
maximum_chroma_from_renotation:1 | vars: hue=[5.2417998370553125, 9.277363517309352, 3.0], value=None | action: ENTER maximum chroma lookup
bounding_hues_from_renotation:1 | vars: hue=[5.2417998370553125, 3.0] | action: ENTER bounding hues calculation
bounding_hues_from_renotation:999 | vars: result=[[5.0, 3.0], [7.5, 3.0]] | action: RETURN bounding hues found
maximum_chroma_from_renotation:999 | vars: result=17.82325068853272 | action: RETURN maximum chroma found
xy_from_renotation_ovoid:1 | vars: specification=[5.2417998370553125, 9, 2.0, 3.0], xy_target=None | action: ENTER xy coordinate calculation
bounding_hues_from_renotation:1 | vars: hue=[5.2417998370553125, 3.0] | action: ENTER bounding hues calculation
bounding_hues_from_renotation:999 | vars: result=[[5.0, 3.0], [7.5, 3.0]] | action: RETURN bounding hues found
hue_to_hue_angle:1 | vars: hue=[5.0, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=135.0 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[5.2417998370553125, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=135.6044995926383 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.5, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=141.25 | action: RETURN angle calculated
interpolation_method_from_renotation_ovoid:1 | vars: specification=[5.2417998370553125, 9.0, 2.0, 3.0] | action: ENTER interpolation method determination
interpolation_method_from_renotation_ovoid:999 | vars: result=Linear | action: RETURN interpolation method determined
xy_from_renotation_ovoid:999 | vars: result=[0.30140984019553363, 0.33537115222160474] | action: RETURN xy coordinates calculated
hue_angle_to_hue:1 | vars: hue_angle=144.59111560290182 | action: ENTER angle to hue conversion
hue_angle_to_hue:999 | vars: result=[ 8.83644624  3.        ] | action: RETURN hue calculated
xy_from_renotation_ovoid:1 | vars: specification=[8.8364462411607292, 9, 2.0, 3.0], xy_target=None | action: ENTER xy coordinate calculation
bounding_hues_from_renotation:1 | vars: hue=[8.8364462411607292, 3.0] | action: ENTER bounding hues calculation
bounding_hues_from_renotation:999 | vars: result=[[7.5, 3.0], [10.0, 3.0]] | action: RETURN bounding hues found
hue_to_hue_angle:1 | vars: hue=[7.5, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=141.25 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[8.8364462411607292, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=144.59111560290182 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[10.0, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=147.5 | action: RETURN angle calculated
interpolation_method_from_renotation_ovoid:1 | vars: specification=[8.83644624116073, 9.0, 2.0, 3.0] | action: ENTER interpolation method determination
interpolation_method_from_renotation_ovoid:999 | vars: result=Linear | action: RETURN interpolation method determined
xy_from_renotation_ovoid:999 | vars: result=[0.29752392730777855, 0.33069626451060713] | action: RETURN xy coordinates calculated
hue_angle_to_hue:1 | vars: hue_angle=140.48894029308914 | action: ENTER angle to hue conversion
hue_angle_to_hue:999 | vars: result=[ 7.19557612  3.        ] | action: RETURN hue calculated
