TRACE|main:RGB|rgb=0.866667,0.933333,0.933333
TRACE|main:XYZ|XYZ=0.859640,0.919160,1.015113
TRACE|main:xyY|xyY=0.307683,0.328987,0.919160
TRACE|xyY_to_munsell:ENTRY|xyY=0.307683,0.328987,0.919160
TRACE|spec_to_xy:CALL|spec=9.0
TRACE|spec_to_xy:RESULT|xy=[ 0.31006  0.31616]
TRACE|spec_to_xy:CALL|spec=10.0
TRACE|spec_to_xy:RESULT|xy=[ 0.31006  0.31616]
TRACE|spec_to_xy:CALL|spec=[ 1.7289798   9.          1.59848224  3.        ]
TRACE|spec_to_xy:RESULT|xy=[ 0.30828208  0.33654497]
TRACE|spec_to_xy:CALL|spec=10.0
TRACE|spec_to_xy:RESULT|xy=[ 0.31006  0.31616]
TRACE|spec_to_xy:CALL|spec=[ 2.57724585  9.          1.59848224  3.        ]
TRACE|spec_to_xy:RESULT|xy=[ 0.30655398  0.33510772]
TRACE|spec_to_xy:CALL|spec=10.0
TRACE|spec_to_xy:RESULT|xy=[ 0.31006  0.31616]
TRACE|spec_to_xy:CALL|spec=[ 3.42551191  9.          1.59848224  3.        ]
TRACE|spec_to_xy:RESULT|xy=[ 0.30544211  0.33394161]
TRACE|spec_to_xy:CALL|spec=10.0
TRACE|spec_to_xy:RESULT|xy=[ 0.31006  0.31616]
TRACE|spec_to_xy:CALL|spec=[ 2.57956786  9.          1.59848224  3.        ]
TRACE|spec_to_xy:RESULT|xy=[ 0.30655094  0.33510453]
TRACE|spec_to_xy:CALL|spec=10.0
TRACE|spec_to_xy:RESULT|xy=[ 0.31006  0.31616]
TRACE|spec_to_xy:CALL|spec=[ 2.57956786  9.          1.59848224  3.        ]
TRACE|spec_to_xy:RESULT|xy=[ 0.30655094  0.33510453]
TRACE|spec_to_xy:CALL|spec=10.0
TRACE|spec_to_xy:RESULT|xy=[ 0.31006  0.31616]
TRACE|spec_to_xy:CALL|spec=[ 2.57956786  9.          3.11998917  3.        ]
TRACE|spec_to_xy:RESULT|xy=[ 0.30335111  0.35132061]
TRACE|spec_to_xy:CALL|spec=10.0
TRACE|spec_to_xy:RESULT|xy=[ 0.31006  0.31616]
TRACE|spec_to_xy:CALL|spec=[ 2.57956786  9.          6.0897345   3.        ]
TRACE|spec_to_xy:RESULT|xy=[ 0.29592509  0.38505173]
TRACE|spec_to_xy:CALL|spec=10.0
TRACE|spec_to_xy:RESULT|xy=[ 0.31006  0.31616]
TRACE|spec_to_xy:CALL|spec=[ 2.57956786  9.          3.27571911  3.        ]
TRACE|spec_to_xy:RESULT|xy=[ 0.30302874  0.35291372]
TRACE|spec_to_xy:CALL|spec=10.0
TRACE|spec_to_xy:RESULT|xy=[ 0.31006  0.31616]
TRACE|spec_to_xy:CALL|spec=[ 2.57956786  9.          3.27571911  3.        ]
TRACE|spec_to_xy:RESULT|xy=[ 0.30302874  0.35291372]
TRACE|spec_to_xy:CALL|spec=10.0
TRACE|spec_to_xy:RESULT|xy=[ 0.31006  0.31616]
TRACE|spec_to_xy:CALL|spec=[ 2.52849782  9.          3.27571911  3.        ]
TRACE|spec_to_xy:RESULT|xy=[ 0.30316983  0.3530589 ]
TRACE|spec_to_xy:CALL|spec=10.0
TRACE|spec_to_xy:RESULT|xy=[ 0.31006  0.31616]
TRACE|spec_to_xy:CALL|spec=[ 2.47742779  9.          3.27571911  3.        ]
TRACE|spec_to_xy:RESULT|xy=[ 0.30334271  0.35321803]
TRACE|spec_to_xy:CALL|spec=10.0
TRACE|spec_to_xy:RESULT|xy=[ 0.31006  0.31616]
TRACE|spec_to_xy:CALL|spec=[ 2.51260178  9.          3.27571911  3.        ]
TRACE|spec_to_xy:RESULT|xy=[ 0.30321375  0.35310408]
TRACE|spec_to_xy:CALL|spec=10.0
TRACE|spec_to_xy:RESULT|xy=[ 0.31006  0.31616]
TRACE|spec_to_xy:CALL|spec=[ 2.51260178  9.          3.27571911  3.        ]
TRACE|spec_to_xy:RESULT|xy=[ 0.30321375  0.35310408]
TRACE|spec_to_xy:CALL|spec=10.0
TRACE|spec_to_xy:RESULT|xy=[ 0.31006  0.31616]
TRACE|spec_to_xy:CALL|spec=[ 2.51260178  9.          3.27856738  3.        ]
TRACE|spec_to_xy:RESULT|xy=[ 0.30320802  0.35313339]
TRACE|spec_to_xy:CALL|spec=10.0
TRACE|spec_to_xy:RESULT|xy=[ 0.31006  0.31616]
TRACE|spec_to_xy:CALL|spec=[ 2.51260178  9.          3.28141811  3.        ]
TRACE|spec_to_xy:RESULT|xy=[ 0.30320229  0.35316272]
TRACE|spec_to_xy:CALL|spec=10.0
TRACE|spec_to_xy:RESULT|xy=[ 0.31006  0.31616]
TRACE|spec_to_xy:CALL|spec=[ 2.51260178  9.          3.27883556  3.        ]
TRACE|spec_to_xy:RESULT|xy=[ 0.30320748  0.35313615]
TRACE|spec_to_xy:CALL|spec=10.0
TRACE|spec_to_xy:RESULT|xy=[ 0.31006  0.31616]
TRACE|spec_to_xy:CALL|spec=[ 2.51260178  9.          3.27883556  3.        ]
TRACE|spec_to_xy:RESULT|xy=[ 0.30320748  0.35313615]
TRACE|spec_to_xy:CALL|spec=10.0
TRACE|spec_to_xy:RESULT|xy=[ 0.31006  0.31616]
TRACE|spec_to_xy:CALL|spec=[ 2.51247744  9.          3.27883556  3.        ]
TRACE|spec_to_xy:RESULT|xy=[ 0.30320782  0.3531365 ]
TRACE|spec_to_xy:CALL|spec=10.0
