source,r,g,b,python_munsell,python_hue_num,python_hue_family,python_value,python_chroma,python_success,rust_munsell,rust_hue_num,rust_hue_family,rust_value,rust_chroma,rust_success,reference_munsell,reference_hue_num,reference_hue_family,reference_value,reference_chroma,hue_diff_py_rust,value_diff_py_rust,chroma_diff_py_rust,match_type,analysis
random,57,12,140,2.2P 4.1/16.8,2.2,P,4.1,16.8,True,7.5PB 2.0/4.0,7.5,PB,2.0,4.0,True,,,,,,4.700000000000003,2.0999999999999996,12.8,DIFFERENT,Significant differences detected
random,125,114,71,0.3GY 7.2/3.0,0.3,GY,7.2,3.0,True,7.5GY 4.7/2.0,7.5,GY,4.7,2.0,True,,,,,,-7.199999999999999,2.5,1.0,DIFFERENT,Significant differences detected
random,52,44,216,9.1PB 5.4/14.6,9.1,PB,5.4,14.6,True,7.5PB 3.3/4.0,7.5,PB,3.3,4.0,True,,,,,,1.5999999999999943,2.1000000000000005,10.6,DIFFERENT,Significant differences detected
random,16,15,47,8.3PB 3.1/5.8,8.3,PB,3.1,5.8,True,7.5PB 0.6/2.0,7.5,PB,0.6,2.0,True,,,,,,0.7999999999999972,2.5,3.8,DIFFERENT,Significant differences detected
random,111,119,13,2.6GY 7.1/8.7,2.6,GY,7.1,8.7,True,5.0GY 4.7/2.0,5.0,GY,4.7,2.0,True,,,,,,-2.3999999999999986,2.3999999999999995,6.699999999999999,DIFFERENT,Significant differences detected
random,101,214,112,1.2G 8.8/6.7,1.2,G,8.8,6.7,True,7.5GY 7.6/2.0,7.5,GY,7.6,2.0,True,,,,,,3.700000000000003,1.200000000000001,4.7,DIFFERENT,Significant differences detected
random,229,142,3,4.3Y 8.1/11.6,4.3,Y,8.1,11.6,True,5.0YR 6.6/2.0,5.0,YR,6.6,2.0,True,,,,,,9.3,1.5,9.6,DIFFERENT,Significant differences detected
random,81,216,174,8.8G 8.8/5.9,8.8,G,8.8,5.9,True,5.0G 7.8/2.0,5.0,G,7.8,2.0,True,,,,,,3.799999999999997,1.0000000000000009,3.9000000000000004,DIFFERENT,Significant differences detected
random,142,79,110,4.3RP 6.6/4.5,4.3,RP,6.6,4.5,True,10.0RP 4.1/2.0,10.0,RP,4.1,2.0,True,,,,,,-5.700000000000003,2.5,2.5,DIFFERENT,Significant differences detected
random,172,52,47,7.2R 6.1/7.9,7.2,R,6.1,7.9,True,10.0R 4.0/2.0,10.0,R,4.0,2.0,True,,,,,,-2.8,2.0999999999999996,5.9,DIFFERENT,Significant differences detected
reference,0,0,0,FAILED,,,,,False,N 0.0,0.0,N,0.0,0.0,True,N 0.0,0.0,N,0.0,0.0,,,,CONVERSION_ISSUES,One or both conversions failed
reference,0,68,119,5.7B 5.3/7.7,5.7,B,5.3,7.7,True,5.0PB 2.8/2.0,5.0,PB,2.8,2.0,True,2.9PB 2.8/7.0,2.9,PB,2.8,7.0,-9.299999999999997,2.5,5.7,ALL_DIFFERENT,All three results are different
reference,0,102,68,8.6G 6.1/9.0,8.6,G,6.1,9.0,True,2.5G 3.7/2.0,2.5,G,3.7,2.0,True,3.4G 3.7/7.0,3.4,G,3.7,7.0,6.100000000000001,2.3999999999999995,7.0,ALL_DIFFERENT,All three results are different
reference,0,34,17,4.5G 3.7/6.8,4.5,G,3.7,6.8,True,10.0GY 1.0/2.0,10.0,GY,1.0,2.0,True,1.4G 1.0/3.8,1.4,G,1.0,3.8,4.5,2.7,4.8,ALL_DIFFERENT,All three results are different
reference,0,68,136,8.0B 5.4/8.6,8.0,B,5.4,8.6,True,5.0PB 2.9/2.0,5.0,PB,2.9,2.0,True,5.1PB 2.9/9.1,5.1,PB,2.9,9.1,-7.0,2.5000000000000004,6.6,ALL_DIFFERENT,All three results are different
reference,0,102,85,2.5BG 6.1/8.4,2.5,BG,6.1,8.4,True,7.5G 3.7/2.0,7.5,G,3.7,2.0,True,8.3G 3.8/6.1,8.3,G,3.8,6.1,5.0,2.3999999999999995,6.4,ALL_DIFFERENT,All three results are different
reference,0,34,34,4.3BG 3.8/5.5,4.3,BG,3.8,5.5,True,2.5BG 1.1/2.0,2.5,BG,1.1,2.0,True,3.0BG 1.1/3.0,3.0,BG,1.1,3.0,1.7999999999999972,2.6999999999999997,3.5,ALL_DIFFERENT,All three results are different
reference,0,68,153,10.0B 5.4/9.6,10.0,B,5.4,9.6,True,5.0PB 3.0/2.0,5.0,PB,3.0,2.0,True,5.8PB 3.0/11.3,5.8,PB,3.0,11.3,-5.0,2.4000000000000004,7.6,ALL_DIFFERENT,All three results are different
reference,0,102,102,5.4BG 6.2/8.0,5.4,BG,6.2,8.0,True,2.5BG 3.8/2.0,2.5,BG,3.8,2.0,True,4.3BG 3.8/5.5,4.3,BG,3.8,5.5,2.8999999999999986,2.4000000000000004,6.0,ALL_DIFFERENT,All three results are different
reference,0,34,51,2.1B 3.9/5.5,2.1,B,3.9,5.5,True,5.0PB 1.1/2.0,5.0,PB,1.1,2.0,True,6.6B 1.1/3.1,6.6,B,1.1,3.1,-12.899999999999999,2.8,3.5,ALL_DIFFERENT,All three results are different
reference,0,68,170,1.2PB 5.5/10.5,1.2,PB,5.5,10.5,True,5.0PB 3.2/2.0,5.0,PB,3.2,2.0,True,6.2PB 3.1/13.3,6.2,PB,3.1,13.3,-3.799999999999997,2.3,8.5,ALL_DIFFERENT,All three results are different
