xyy_to_munsell_specification:1 | vars: xyy=[0.3016555411, 0.3289901051, 0.8269331673] | action: ENTER 
xyy_to_munsell_specification:2 | vars: x=0.3016555411, y=0.3289901051, big_y=0.8269331673 | action: CALC extract xyY components
xyy_to_munsell_specification:4 | vars: value_raw=9.2773635406 | action: CALL munsell_value_astmd1535
xyy_to_munsell_specification:6 | vars: value=9.2773635406 | action: BRANCH value is not integer: keeping precise
xyy_to_munsell_specification:7 | vars: x_center=0.3100600000, y_center=0.3161600000 | action: CALC illuminant C center point
xyy_to_munsell_specification:8 | vars: rho_input=0.0153377484, phi_input=123.2271114397 | action: CALL cartesian_to_cylindrical
xyy_to_munsell_specification:10 | vars: xyz=[0.7582263666, 0.8269331673, 0.9283907355] | action: CALL xyy_to_xyz
xyy_to_munsell_specification:11 | vars: lab=[92.8800035438, -10.4047588527, 3.2067909333] | action: CALL xyz_to_lab
xyy_to_munsell_specification:12 | vars: lchab=[92.8800035438, 10.8877231262, 162.8704794134] | action: CALL lab_to_lchab
xyy_to_munsell_specification:13 | vars: initial_spec=[5.2417998371, 9.2880003544, 2.1775446252, 3.0000000000] | action: CALL lchab_to_munsell_specification
xyy_to_munsell_specification:15 | vars: initial_chroma=2.0000000000 | action: BRANCH high value/chroma: limit to 2.0
xyy_to_munsell_specification:18 | vars: initial_hue=5.2417998371 | action: BRANCH valid hue: keeping
xyy_to_munsell_specification:19 | vars: spec_current=[5.2417998371, 9.2773635406, 2.0000000000, 3.0000000000] | action: CALC initial specification
xyy_to_munsell_specification:20 | vars: convergence_threshold=0.0000001000, iterations_maximum=64 | action: CALC convergence parameters
xyy_to_munsell_specification:21 | vars: iterations=1 | action: LOOP convergence iteration 1
xyy_to_munsell_specification:22 | vars: hue_current=5.2417998371, chroma_current=2.0000000000, code_current=3 | action: CALC current spec values
hue_to_hue_angle:1 | vars: hue=5.2417998371, code=3 | action: ENTER 
hue_to_hue_angle:2 | vars: raw=4.0241799837 | action: CALC raw = (17 - code) % 10 + (hue / 10) - 0.5
hue_to_hue_angle:5 | vars: raw=4.0241799837 | action: BRANCH raw < 0.0: false
hue_to_hue_angle:6 | vars: result=4.0241799837 | action: CALC raw % 10
hue_to_hue_angle:7 | vars: single_hue=4.0241799837 | action: CALC single_hue calculated
hue_to_hue_angle:8 | vars: i=0, single_hue=4.0241799837, breakpoint_i=0.0000000000, breakpoint_i1=2.0000000000 | action: LOOP iteration 0
hue_to_hue_angle:8 | vars: i=1, single_hue=4.0241799837, breakpoint_i=2.0000000000, breakpoint_i1=3.0000000000 | action: LOOP iteration 1
hue_to_hue_angle:8 | vars: i=2, single_hue=4.0241799837, breakpoint_i=3.0000000000, breakpoint_i1=4.0000000000 | action: LOOP iteration 2
