Category,R,G,B,Difference,Reference,Python,Rust
FamilyMismatch,68,255,221,G→BG,10.0G 9.1/10.9,10.0G 9.1/10.9,0.0BG 9.1/10.3
FamilyMismatch,102,51,68,RP→R,9.8RP 2.8/4.6,9.8RP 2.8/4.6,1.0R 2.8/3.9
FamilyMismatch,136,0,68,RP→R,9.9RP 2.8/10.8,9.9RP 2.8/10.8,0.8R 2.8/9.0
FamilyMismatch,153,51,85,RP→R,9.8RP 3.7/9.2,9.8RP 3.7/9.2,0.4R 3.7/7.8
FamilyMismatch,170,17,85,RP→R,9.5RP 3.6/12.6,9.5RP 3.7/12.5,0.3R 3.7/10.3
FamilyMismatch,170,255,238,G→BG,9.9G 9.4/9.7,9.9G 9.4/9.7,0.2BG 9.4/5.5
FamilyMismatch,204,85,119,RP→R,9.6RP 5.2/10.9,9.6RP 5.2/10.9,0.0R 5.2/9.3
FamilyMismatch,204,34,102,RP→R,9.6RP 4.5/14.6,9.6RP 4.5/14.6,0.1R 4.5/12.0
FamilyMismatch,204,136,153,RP→R,9.8RP 6.3/6.0,9.7RP 6.3/6.0,0.1R 6.3/5.3
FamilyMismatch,204,221,238,B→PB,4.5B 8.7/2.1,4.4B 8.7/2.1,0.6PB 8.7/-55.3
FamilyMismatch,221,0,102,R→RP,0.1R 4.7/16.6,0.0R 4.6/16.6,10.0RP 4.6/16.6
FamilyMismatch,221,68,119,RP→R,9.4RP 5.2/13.9,9.4RP 5.2/13.9,0.1R 5.2/11.4
FamilyMismatch,221,153,170,RP→R,9.7RP 6.9/6.0,9.8RP 6.9/6.0,0.1R 6.9/5.3
FamilyMismatch,221,238,255,B→PB,3.4B 9.3/2.6,3.4B 9.3/2.6,0.3PB 9.3/-0.7
FamilyMismatch,255,85,136,RP→R,9.7RP 6.0/15.3,9.7RP 6.0/15.3,0.0R 6.0/13.2
FamilyMismatch,255,204,221,RP→R,9.0RP 8.7/4.1,9.0RP 8.7/4.1,0.1R 8.7/3.5
FamilyMismatch,255,238,238,YR→Y,0.0Y 9.5/2.0,10.0YR 9.5/2.0,1.0Y 9.5/-2.5
Hue,238,102,136,4.800000000000001,0.1R 6.0/12.5,0.1R 6.0/12.5,4.9R 6.0/11.0
Hue,255,34,119,4.800000000000001,0.1R 5.5/18.1,0.1R 5.5/18.1,4.9R 5.5/15.7
Hue,204,51,102,4.7,0.2R 4.6/13.5,0.2R 4.6/13.5,4.9R 4.6/11.7
Hue,221,17,102,4.7,0.2R 4.7/16.3,0.2R 4.7/16.2,4.9R 4.7/14.1
Hue,153,85,102,4.6000000000000005,0.3R 4.4/6.0,0.3R 4.4/6.0,4.9R 4.4/5.4
Hue,187,68,102,4.6000000000000005,0.3R 4.6/10.8,0.3R 4.6/10.7,4.9R 4.6/9.5
Hue,187,0,85,4.5,0.4R 3.9/14.4,0.4R 3.9/14.4,4.9R 3.9/12.6
